発話文	応答文	xの場合x	(理由？なくても)
うちのちゃんぽん高いけど大丈夫			
オーガニックでよろぶん健康になろう			
いつのまにかキノコが生えるものなのです			
ライスとユニットでユニット定食笑った			
今日の夕飯にペペロンチーノ作った			
暇だから小豆炊いてます			
キャベツ2個も手に入れたから今からロールキャベツを作ります			
怪獣かってくらいデカいメンマが入ってました			
久しぶりにコーラ飲んだ気がする			
アサリは得だと思う			
カルボナーラめっちゃ久々に食った			
鮭を買ってきた			
今日もキューちゃんは梅干を持参し食べてます			
ベリー系大好きだからクランベリーとかでも取れるなら嬉しい			
フルーツとブラックペッパーが合うことを知ってしまった			
ミルフィーユ食べて少し寝よ			
レンジでチンしてオーブンでブンして食え			
芳醇ロールとエスプレッソでスタートします			
チーズかけてオーブンで焼けば間違いない			
歩道にサバの切り身が落ちてた			
暇ならお茶しない			
立派なじゃがいもとたまねぎをたくさん頂きました			
今日のお茶請けは羊羹です			
しばらく遊びの時はチェリー持ってみよう			
赤ワインな7UPで割ったらめっちゃ美味しい			
サバよんだとか言わないで下さい			
有名なみかんとか置いて待ってます			
こないだ買ったウイスキー飲んでダラダラしてる			
腕の筋肉はソーセージで鍛えよう			
短い休憩なのにもったりしたベーグルを買ってしまい			
赤玉も不足してたし獣神竜のクエ美味しい			
お昼にバナナとかバームクーヘンとかもらって食べ過ぎた			
蜂蜜の便が硬すぎて開かない			
グラタンの季節が来た			
夜は月曜日に持ってくスイートポテト作る			
アルコール脱水素酵素などを含む			
スープはミネストローネが好きだ			
イチゴに目が眩んでいた			
氷が屋敷内に落ちていたんだ			
お腹空いて煎餅食べてたほかってくる起きて待ってて			
舞茸もしめじも高かったです			
マドレーヌは個人的に4位かなって思ってた			
身体は人参で出来ている			
寒天の海と戦っています			
えっ豆腐作るのに足りなくて使った			
ハニーの為なら			
今日の昼食は卵とチーズのガレットだそうだ			
玉ねぎのクッキーを食べている			
菜の花からし和えおいしい			
皿一杯のペンネが胃でふくれて苦しい			
飴で虫歯にならないように注意してください			
蒙古タンメンが食べた過ぎる			
明日のお昼用にベーグル作ってた			
もずくはもずくっていう海藻だ			
本日はカプチーノをご用意致しました			
スルメになる曲も多い			
今日は紅茶のスコーンを焼きました			
ワッフルとカステラ食ったら吐きそうになった			
マスカットのぶどうパンは酸っぱいけれど美味しい			
最近無性に生クリームが吸いたい			
鶏肉なら太らない			
肉は鶏肉でーす			
お鍋を買ってしまいました			
チョコも頂いたみたいで			
夕:キャベツとツナのマヨネーズ和え			
水牛と人間のキメラです			
みりんの代わりに使える			
豆が腐ったのが納豆なんだ			
昨日帰ったらニンニクくさい			
たった今グラタン食べてきました			
鶏肉の唐揚げにレモンをかける			
スコーンがあるからロンドン住みたい			
演説の牛肉がきつい			
3時のおやつっつったらアップルパイに決まってんだろ			
カフェオレの方が5倍くらい好きです			
興味本位で生肉食べたら当たったかもしれぬ			
ケーキを焼いてみました			
うずらって2年くらいしか生きられないんだ			
蜂蜜は唯一腐らない食べ物だって知っている			
昨晩のウイスキーが若干残る			
今年の冬は赤ワインでやり過ごす			
今日から煮干しも始めました			
こんなチキンなイワシをどうか殺してください			
そういえばしいたけの栽培始めました			
レタスの断面が鮮やかな			
大人向けのちょっぴりビターなチョコとかそういう			
ゴマのプチプチ感が楽しめる風味豊かなパウンドケーキです			
ダイヤモンドとブルーベリーで悩んできた			
ホットケーキが冷めたら			
卵子ちゃんといっしょにがんばります			
世界が変われば楽しくてしょうがなくなる			
揚げ物を食べた日は次の日の一食抜けデブ			
塩辛すぎず丁度良い塩加減で美味しい			
ねり梅も頑張る			
お肉は鶏肉が好きです			
そんなにミルクを入れたら腹くだしてしまう			
水割りって結構薄くない			
シナモン入っとるとか聞いてない			
最近のダージリン買ってない			
セブンのスイートポテト味のソフトクリームはおいしかった			
もうほんまイライラするご飯もゆっくりと食べれん			
マグロに足なんてないじゃない			
決して趣味はアスパラじゃないので覚えていてください			
しゃもじPお疲れ様でした			
適当にホットケーキミックスでパウンドケーキにしたら美味しい			
離乳食も食べないしミルクも嫌がるってどうしたら			
七味かけ過ぎて辛い			
大根で味噌汁作ってくれ			
今日は小松菜のお鍋でした			
黒豆の甘納豆食べながら玉露をキメた			
ムカついたから青のりむっちゃつけてやったのは内緒な			
鮭に飲まれるくらいなら飲まんとってほしい			
好きなんだけどキャベツの上に揚げ物置かないでほしい			
アイスクリームなどを食べ過ぎると身長の伸びに悪影響を与える			
トマトとツナの冷製パスタ作った			
銭湯でゆっくりして帰りにコンビニでアイス買う			
答えは乳製品です			
シェフの気まぐれサラダ頼んだらカツカレー出てきた			
クッキー食べてくれた人ありがとう			
ロールキャベツは絶妙な柔らかさが大事だ			
夜中のデザートなぅ			
このごはんちょっと堅くない			
揚子江の豚まんくってる			
食べるのきのこか豆腐に切り替えよう			
お時間あったらまたミートしましょ			
うワンタン賢いでしょ			
ダージリンいれてみたら甘くない			
汁をたっぷり吸った油揚げが大量に入ったうどんが食いてぇ			
食欲は全然あるんだがこれから揚げ物と肉食べない			
母がアップルパイを焼いてくれました			
煎餅すら噛むのが疲れるという理由であまり食べない			
ほうれん草を見て吹いた			
さすがのおじさんもシロップの新譜を買って早めに帰る			
着いたらグッズのせんべい食べよう			
作り置きおかずのレンコンのきんぴら失敗だった			
チョコ待っとるで			
ヨモギ焼くくらいの覚悟はある			
ラーメンと干物とかを焼いたのは美味い			
とりあえずはちみつのど飴舐めて寝る			
川がかなり雑炊してるって通報があったんだ			
半熟でとても美味しかった			
アボカドはアボカドを拡張したもので			
甘いもの食べたから次はフライドポテトか肉まんが食べたい			
三度の白米と百合があれば生きていけます			
ミルクティーかチャイを所望す			
今のメレンゲの話の女なんなのくそやん			
551の豚まん食べてる仙三ください			
単なるポトフになってしまった様な			
りんごもう自分のアイコン飽きた			
ニンニク臭い息を吐く人が後ろにおって悶絶しそうです			
豆乳を切らした			
卵ひとつとバターでは足りない			
ポテトとかが無難			
会社でもらったタルトがうますぎた			
明後日はワッフル焼く			
今度は海鮮たべよ			
後で作り足したタレは砂糖が多かったみたいで			
執拗なまでのショコラで攻める			
おなかすいて目玉焼き作ったら煙が目にしみて涙流してる			
いおしるこを販売します			
寝ながらみかんの皮を剥いている			
早起きして冬瓜と揚げのお味噌汁作成なう			
ポテトしか辛そうじゃない			
青い森のスイートポテトはマジで美味い			
レンジでチンしてオーブンでブンして食べて下さい			
お鍋と同じ色だったから気付きにくかった			
いちごが鶴丸にデレデレしてるのはよく見るじゃん			
生殖機能低下や卵子の老化を早めます			
あんぽ柿と干し柿っていっしょでしょ			
芋煮こぼしてない			
たいやきのこと知ってたけど甘いの好き			
味噌汁と炊きたておにぎりコンボはあかん			
オレンジと蜂蜜の香りがして落ち着くのでかなりお気に入りです			
サバ読んでスケジュール言うじゃない			
葉っぱなのにあまりに豆の匂いがするので驚いた			
いイチゴのショートケーキが無性に食べたい			
ホストクラブではシャンパンを勧められる			
ししゃもの歴史を感じる			
元気だったらもやしを500本食ってくれ			
大量の茹でとうもろこしが出てくるのが解せない			
アセロラがやっぱり一番可愛くない			
タレはやがてお肉に染み込む			
りんごの木植える			
ココア吹き出すとこだった			
スパゲティだと少ないのに素麺だと多く感じる			
大臣の力で塩漬けにしてやってください			
誕生日迎えたのでモンブランを食べます			
あいも牛乳に会いたい			
スーパーで売られていた魚と目が合った			
マックフルーリーのティラミス初めて食べたけどめっちゃ美味しい			
喉乾いたから赤ワインください			
面倒くさかったけどロールキャベツ作ったら			
手始めに世界を救う前にお茶でも飲んでアニメを観よう			
ご飯にマーガリン塗ってほたてと海老とイカくった			
きゅうりの辛子あえ			
チョコが世界から消えたら死ぬ			
透明なのはコラーゲンかなって思って食べたら玉ねぎだった			
ようやっと納得のいくカレイの煮付けができた			
おっきな柿いただきました			
今日はパプリカを入れます			
月曜日にしてすでにしいたけが当たりすぎてて怖い			
ガレットで調節した			
茄子と長ネギの炒め煮			
大きな白菜送られてきて喜んでいる			
目玉焼きとベーコンを乗せるのはお約束です			
甘酸っぱいマンゴーと歌舞伎町バタフライ馬鹿にしてごめんなさいっ			
絵を描いててご飯食べるの忘れることはよくある			
アンチョビを開始しました			
小豆の力で肩を温める			
キャベツに歳なんてあるわけないだろ			
松茸がでかくなったら木になるん			
ちょろいちにも新茶が美味しくて幸せ			
ソフトクリームおいしそうそして種類が豊富			
スマステで蒙古タンメンやっててめっちゃ食べたくなった			
物凄くダージリンのおしっこの気分なんだ			
ぶどう山椒の柿の種が止まらない			
油揚げをうどんが見えないくらいに盛りましょう			
貝類の死臭に匹敵する臭さっす			
どうしよう卵焼きくそまずいのに同居人に出しちゃったっ			
黄身までしっかりと固くなった			
時々焼きマシュマロを与え			
折角の果物がだめになってしまいました			
石かりソムリエがいっぱいいてすごい			
頂き物のカステラ開けたら			
宇治丸のネギ塩焼き干し大根の味噌和えのせ			
後引くスパイスがやみつきです			
今夜は焼き魚と豚バラ大根にしました			
玉葱の天ぷらが大好きです			
不意打ちのにんにくは胃がやられる			
ムッとしたけどお口にチャックしてウイスキー飲む			
ペッパーはほんとはのんより強い			
下手がガーリック臭い			
ゴマと見せかけたちっさい虫とかない			
バイトじゃなければ先輩のパンケーキにお供したかったです			
なべが嫁怒らせた			
なんか赤ワインについて語ってる			
セブンのバターチキンカレーにマヨネーズかけたら余計おいしい			
そぼろ作るのにツナ入れるん			
コロッケの弟子入りして特訓します			
マフィンに入れようと思ってたのに無くなる			
今日おにくの日だから豚汁つくる			
改めて見てみたら三日月じゃなくて唐辛子に見えてきた			
バジさん腰にバジルつけてる			
磯の味がした			
ラブパワー入ったマドレーヌなら			
長ネギをハサミで切る			
ごぼうを皮ごとお茶にすると若返りに効果があります			
にんにくの芽も美味しいしにんにくも美味しい			
ハモるのが上手い			
ほうじ茶の味で美味しかった			
家での主食が果物になっている			
何でこんなに小梅のこと好きなんだろう			
いきなりの和風です			
今日は肉じゃが作ったんやけど既に			
悪夢には大豆がきく			
ペッパーの髪型だしたら			
セブンイレブンの新商品のチキン柔らかくてうまし			
上のブルーベリーを一粒ください			
みかんむいて欲しいし汁とか目玉にかけられたい			
もちろんお鍋に入れてコンソメやトマトソースで煮込んでもいいです			
さっきお店でソフトクリーム頼もうとしたら			
帰ったらカルボナーラ作ろう			
玉ねぎとにんじんと豚肉が安かった			
目の前のオッサンはなるちんはマヨネーズです			
魚の白身と言います			
今さらだけどメレンゲ見た			
豆乳飲んだらいいんじゃない			
チキン(胸肉)ピカタとブロッコリーです			
明太子買ってきてるけどお茶漬けにして食べようか迷う			
五郎丸と牛乳とチーズでリゾット作った			
鮮やかな赤身の切り身に見えた			
自転車のサドルがブロッコリーになっていました			
揚げ物の気分ではない			
早速20センチちょいのカサゴを煮付けにした			
休みの日に山芋のキムチ作ろう			
切れ目いれてからオーブンに入れたら			
生肉は怖いし馬は死ねばいい			
鶏肉とカシューナッツ炒めで			
ケンタロスに乗ってタマゴわり			
そんなに乱暴に鶏肉をイれたら			
卵落として片栗粉を入れて山椒ぶっかけたもん食ってる			
シナモンの痛バ欲しい			
グレープフルーツやベルガモット好きな香りです			
母親がヨモギ燃やしたにおいと言ってました			
抹茶のチーズスティックも美味しかったまた食べたい			
アロエは昔から民間療法薬として知られてきました			
朝ごはんでさつまいも食べたからじゃが			
ブラウニー食べたかった作りたかった			
女子会ランチで久しぶりにガレットを食べた			
イチゴのカルピス差し入れくれた			
歯は磨くのでギョーザ食べても大丈夫			
釜飯はめっちゃ時間かかる			
鰹節でも用意する			
もやしとしての自覚はある			
ワッフルがキーボードに見える			
ラー油をひとかけしたら出来上がり			
和え物とか煮物とかが見えない			
鯵がシャキシャキです			
ままかりと焼酎の組み合わせイイ			
麦飯とも合うでしょう			
今日は洋梨のタルトでした			
明日はかぼちゃのシチューをつくります			
菓子折り持ってかなきゃ			
本日の手羽先のタレは完売致しました			
鯵の内臓取らなくていいですって言ったぐらいで			
油揚げ買い忘れても買いに行けるのすごく優秀			
銀杏も嫌いじゃない			
長芋の唐揚げ			
みかんの缶で小指を切ってしまった			
豚肉と人参のケチャップ炒め			
息抜きにしょうがシロップ作る			
カレーに納豆と塩辛と生たまごのっけたら			
助手が紅茶に合うケーキとかスコーンとか作れたらどうしよう			
ひじきかきわすれたかと思った			
鮎がしさんの御本届きました			
りんごの間にチーズと青じそをはさみます			
今からコーラ買ってきていい			
ズッキーニのバター炒め食べたくない			
やっぱり明日もマフィン食べよう			
素麺を作っていたら			
大分駅着くなりいきなりジェラート食べる			
お鍋を一杯ずつ取っておいてもらいました			
レムとラムとスイムスイムのフィギュアが欲しいです			
しおからより好きかも知れません			
野菜たっぷりポトフです			
グーグルとアップルが目指す			
野菜をムダにしない			
今日の夜はアルコール止めとこう			
黄金色に光る銀杏の木です			
ドルチェが強すぎました			
お風呂入りながら今日はアイス食べてる			
今後は黙っておからを噛みしめることにします			
明太もつ鍋美味しすぎた			
塩辛やさんにとってはイカの身はもとより			
映画の影響か南瓜買ってしまった			
クリスマスのシェフ取れなかった			
胡瓜のピクルス作った			
豚汁が鍋いっぱいたべたい			
ズッキーニに振られた。゜(´つ			
辛子だか唐辛子のシュークリーム食べる			
牡蠣も買いに行きたい			
テキーラ飲んで運ばれました			
ライチの乳もっと盛って下さい			
しめじの二人お疲れ様			
酢豚ならぬ酢鶏を作ってみた			
ひさしぶりにおいしい牛肉がたべたいです			
現実はピーマンや			
自分でもおいしい卵焼き作りたいわぁ			
エスカルゴを堪能してきました			
牛乳は箸でかきまぜながら加熱すれば吹きこぼれない			
かぼちゃとほうれん草のごまあえ			
豚肉が入るだけでこんなに炒飯って美味いのか...知らなかった			
今更だけど昨日の芋煮美味しかった			
さくらんぼのフレーバーの賞品が欲しい			
グレープフルーツに砂糖はかけるでしょ			
文句言ってもしょうがない			
醤油ラーメンに死ぬほどラー油掛けてやったらすげえ怒られた			
水割りのみつつ人生語る			
紅いもタルト食べたい			
チューハイなかったからしぶしぶビールのんだら普通に飲めた			
豆食べる時めっちゃかわいかった			
うぶみさんから貰った枝豆で豆ご飯を炊きました			
あーーお汁粉かぜんざいが食べたい			
ミルクで作る泡を珈琲にのせるんだ			
むしゃくしゃしてセブンでレアチーズもちと生ハム買ってきた			
ゆで卵作ったんだけど半熟どころか半生でござった			
岩塩が変わった			
鴨川に塩辛を買いに行って来た			
悲しみに暮れるみろうのもとへ訪れたさんまが残した			
スライスしたリンゴを追加しただけなので簡単			
オーブンで軽く焼くのもとっても美味			
