発話文	応答文	xの場合x	(理由？なくても)
大きな蟹この見てください		x	文
スーパーで買ったうずらの卵からヒナが産まれた	そんなことってあるの！？？		
小松菜のゴマ和え	胡麻和え大好きなんだー		
果実が各地で飛び周囲に被害が出ることで		ｘ	文
お酒より烏龍茶のほうが1000倍美味しいです	お酒の良さがわからないなんて人生損だよ		
その近くにベーグルがおいしくて有名なお店があるらしい	ベーグルはたべたい		
浅葱によると最新話で一息ついたらしいので観ます		ｘ	文
冷奴の旦那の墓だ		ｘ	文
我が家につぶポン酢とドレッシングのセットがちょうどある	何の料理つくるの？		
猫舌なのに豆乳あっためすぎた	豆乳とか牛乳って落ち着くよねー		
今日は何故かひじきも有る	ひじきあってもびみょいけども		
今日の昼飯は秋刀魚の塩焼きだ	秋刀魚！秋にもってこいだね		
寒いこの時期に育てられる野菜がほうれん草である	てことは北国にむいてるのかね		
今日もアイスクリームが美味いっ	アイスクリームは夏でも冬でもうまいっ		
大根おろしでさっぱりいける		ｘ	文脈
一番人気の穴子も早朝活け	穴子が一番人気なのね		
麺類ばかり食べてる	かん水が肝臓に悪いよね		
今年も景品として贈ったマヨネーズが帰ってきた		ｘ	文
一緒にクエしたい		ｘ	テーマ
フォアグラってどうして美味しいのか解った	フォアグラは油がおいしいんだよね？		
シャコはちょっと無理かも(どう違う	エビフライならいけるよね		
ユリたん♡甘いミルクとユリたん汁で温まろう		ｘ	人名
わらさと鯛の切り身が鍋に入れることで少し減った		ｘ	文脈
惣菜の半額待ちで時間つぶしてる	でもその時間がもったいなくない？		
麹の世話がたのしいくらいだからきっとへいき	おばあちゃんみたいだね		
コチュジャンは味噌系唐辛子だれ	コチュジャンってそういう感じなんだ！		
カニに転職する		ｘ	テーマ
赤い液体見ると赤ワインに見えて苦しい	赤ワインに苦い思い出でもあるの		
朝は珈琲で始まり		ｘ	文
カリーも嫌らしい		ｘ	文脈
砂糖かけるのも面倒だ		ｘ	文脈
しょーこちゃんに甘納豆を広めた		ｘ	人名
みかんとキャベツ買い忘れた	君は買い忘れよくするねー		
サザエで.ございます	ごめんなさい、サザエむりですー		
普通のハイチュウも柔らかいからキャラメルほどの感動はなかった	何かすごいハイチュウが発売したの？		
ダメなのは根菜です	いやいや、根菜は体にいいでしょ		
放置ってた流しモノに目をやったら土鍋がきのこってた		ｘ	テーマ
金目鯛の煮付け上手く出来た	今日の夕飯は金目鯛か！		
ピーマンの肉詰め弁当で昼食なう	お弁当凝ってるね		
自販でスープとか味噌汁が売られてる	最近寒いしめっちゃいいねそれ		
魚も赤身の魚食え		ｘ	文脈
あさりとしめじと青梗菜の酒蒸し	なんかおいしそうだね。青梗菜ってなんだ		
本日から新しいリキュール置いてます	お酒！それ飲む		
ローズマリーの伸びすぎとかしかない		ｘ	文
アイスは逃げない	逃げないけど奪われることはあるかもよ		
納豆買ったら噂のコレだった		ｘ	コレ
文豪たちがいっぱいご飯食べる	痩せてるから食べなさそうだけどね		
こんにゃくの肉味噌炒め	ヘルシーでよさそう！		
真鯛流行らせてどうすんだ	真鯛かーわからん		
親戚からさつまいもが届いたから大学芋もどきのいももち作った	え、いももち持ってきてよ！！		
ゴミ箱から栗の花の匂いがする		ｘ	テーマ
スイートポテトの評判が非常によい	スイートポテトはサツマイモだよね？		
カボチャって南瓜って書くんだ	そうだよー君は漢字よわいね		
牡蠣のピラフおいしかった	だから私牡蠣むりだってー		
向かうついでにご飯食べていこ	何食べよっか		
大嫌いだったらっきょうを克服した途端に好物になりました	そんなことある？らっきょう私嫌いだけど		
このすべてにマヨネーズは欠かせません		ｘ	この
お腹が空いたのでアップルパイを食す	マックのアップルパイか		
同じ小麦だからいいだろう		ｘ	文脈
ヨーグルトとバナナのスムージー飲んだらお腹ぐるぐるになってしまった	なんでもやりすぎはだめだよ		
米はうちのコシヒカリを使って下さい	え、秋田こまちが好きなんだけど		
メインはスペアリブをお願いします	スペアリブですね。すぐにお持ちします		
お皿に盛る際に黄身が崩れ		ｘ	文
昆布食べ終わってしまった	もう食べるものないよ		
モンブラン飲んでるみたいで甘すぎて気持ち悪い	えー味の濃いの好きだよ		
こんな時間からスペアリブを使った料理を始めている	スペアリブ大好きだよ＾＾		
申し訳程度にコロッケをポケットにねじ込む	それはポケットが大変なことになるよ		
チーズと明太子とかどうだろ	その組み合わせは神		
鶏のたたきめっちゃ美味しかった	えー居酒屋でもいったの		
今日はひき肉を使う	てことはハンバーグかなー		
松茸は素材から引っ張ってきた		ｘ	文
もれ子はウィンナーを挟んでヤギさんに届ける事にした		ｘ	人名
ご飯も食べてないくらいにはカフェ巡りが好き	君の体はコーヒーでできているね		
高知の生姜をかわりにいただいた		ｘ	文脈
お弁当の玉ねぎ辛い	だめなたまねぎだね		
ベーグルは茹でたり楽しいです	ベーグルをゆでる？？		
クロ瓜氏はタコではなかった		ｘ	人名
待ってホッケやん		ｘ	文脈
食べるラー油は買っちゃダメだ	うん、ご飯しか食べなくなるよね		
カッパ巻きは見たことあるけどダイレクトにきゅうりは初めて見た	私はキュウリ一本まんまマヨネーズかけるよ		
怒ったありしゃも可愛い		ｘ	人名
さつまいも掘りした	幼稚園でやった以来だ		
トマトを数えて寝たら		ｘ	文
クリームチーズの醤油漬けを仕込んだ	なんだその居酒屋のつまみみたいなの！		
たまねぎの皮は大事だった	玉ねぎの皮がどうしてそんなに大事なの？		
秋田産のネギをたっぷり入れた雑煮です	正月の朝にたべたい		
タルトはもう社畜になってしまったのでした		ｘ	人名
シナモンの香り嗅いだらアップルパイ食べたくなってきた	シナモン自体すきじゃないからなー		
もう半分にコーヒー牛乳(？)入れてシリアル食いだしてます		ｘ	文脈
プライベートとなると口が貝のように閉じてしまう	やっぱ仕事だからできるんですねー		
山椒とじゃこを炊き込みご飯にするじゃろ	おなか減ってきた—		
赤だしに玉ねぎと車麩と豆腐ぶちこんでまかない作った	まかないっぽくていいなーうちはラーメンしかないから		
蜂蜜を探すと良い	蜂蜜探してたらプーさんになりそう		
部屋が起こったらとりあえずハマチすら無い		ｘ	文
七味かけて食べたいすな		ｘ	文
冷凍のマンゴーがコンビニに売ってたから買ったんです	これでマンゴーパフェができる！		
七味の出し方がわからない	ちょっと貸してみ		
シーチキンを缶のまま食べてた人を初めて見た	一人暮らしはやるよー		
ただぼっちでハモる練習を開始しました		ｘ	テーマ
間違ってズッキーニを食べている	何を間違ったｗ		
調子乗って揚げ物食い過ぎた	揚げ物は明日に来るからねー		
ダッツのミント初めて	チョコミントとか大すきょ		
秋刀魚の蒲焼き作った	今日は和食だね		
カフェオレ飲んだら胃が重くなってきた	カフェオレ飲むと元気でるじゃん		
バリスタがなんか似てると思ってた		ｘ	
今月はスルメ食べて生活しなきゃ	金ないのかー		
一昨日は久々にテキーラやらイェーガー夜通し飲んだせいで		ｘ	
ドルチェって北斗やろ		ｘ	
マッシュルームが優勝だったんだ		ｘ	
いんげん豆とチキンカレーが日替わりです	種類ないですね(笑)		
白エンニュートをバニラって名前にしたい		ｘ	
ひええ小松菜美しい	小松菜はからだによさそう		
秋刀魚の缶詰でも輸送できるんだ		ｘ	
大豆が寝た		ｘ	
お家でにごり酒飲んでる	渋いですねー		
大根と小松菜とおあげさんを煮よう	なにつくるの？		
サラダだけで腹が満たされる訳ないだろ	サラダとチキン食べれば？		
夕飯は豚スペアリブと大根と豆の烏龍茶煮	烏龍茶で煮るとどんな感じになるの		
最近は寝る前にカフェインレスのカフェオレ飲むのが好き	カフェオレは確かに寝る前に飲みたい！		
バナナが食べたくなってきちゃった	バナナはダイエットにいいよ		
いつの間にか一味唐辛子があった	誰がもってきたの		
物産展で買ったししゃもおいし	物産展って高まるよね		
このモンスターボールにシナモンのぴょこのる入れたら最高に可愛いと思わない		ｘ	
はじめて大トロとかいうの食べたけどあんまり好きじゃなかった	結局大トロより中トロなんだよねー		
セロリで遊んでる場合じゃなかった		ｘ	
フランクフルト売ってます	ホットドックはうってないのー		
お腹すいてこの時間に鶏肉のグリーンカレー炒めつくった	めっちゃおいしそう。ちょーだい		
プリンは肉であり		Ｘ	
前回のハモり		Ｘ	
シナモンのぬいぐるみリュック１万円でびっくりちた		Ｘ	
我慢できずに椎茸焼き始めちゃった	椎茸はきらいだからいーよ		
バイト前にカフェラテで思いっきり口火傷した	カフェラテはふーふーしないと		
ぶちかましてしまったナッツ臭いどうしよう		Ｘ	
場所はリハ3ではなく某オリーブでやります		Ｘ	
モンブランも食べた		ｘ	
ホイップクリームの力だ		Ｘ	
焼きたてのクロワッサンです	やきたてクロワッサンは最高		
アジのお寿司めっっっちゃうまい幸せ	アジが今時期なの		
クランベリーとアーモンドが乗ってた	クランベリーとアーモンド乗ると何でもおいしい		
美味しいショートケーキが食べたいである	近くにケーキ屋さんあるよね		
ディナーの人の顔しらん		Ｘ	
ほんの少しはちみつ入れたら		Ｘ	
めちゃ海苔で美味しかった	海苔は韓国のり？		
９割以上身内用となってるダージリン買い足さなきゃ		Ｘ	
すだちの酸っぱい匂いが指にまだ残ってる	スダチの皮でも剥いたの？		
ガチ部屋でピーチ使うのに少しはまってる		Ｘ	
たま麩をカフェオレでやるところだった		ｘ	
美味しい塩おにぎりと味噌汁欲しい	美味しい塩おにぎりとみそ汁作ってお母さーん		
シナモンが多いです	シナモンは目で軽めでいいんだよ		
タルトの中に漬物いれてた	逆に合うかな		
赤味噌なのだ	白味噌はだめなのだ		
ししゃも焼くだけじゃお洒落じゃない	ししゃも焼いておしゃれか？		
お尻にささった大根を抜いてください		Ｘ	
この時間にロールケーキとココア飲んだ	さいこうでね。ふとるけど		
一人でラスク食ってる	口ぱっさぱさになるでしょ		
納豆出てきたのだ	ねばねばがいいよね		
里芋をきれいに洗い		ｘ	
鶏肉のパックが外にあって肉が部屋に散らばってる		ｘ	
ドーナツで遊ぶかわいいイケおじはっておやすみします		ｘ	
神様は寒天とゼリーのような感触です		ｘ	
今日ももやし買った	もやし安いしおなか一杯になる		
炙りサーモンだけひたすら	脂っこいものばっか		
来週からMXでBugってハニーとかやるんだ		ｘ	
ソルトが年末に50引きになりそうで悩む		ｘ	
ロールキャベツも投入予定です		ｘ	
海苔の４割はタンパク質です	え！じゃあ筋肉にいいのか		
明太子でにんじんシリシリを作りました	人参しりしりってなんですか		
アニに唐辛子を混ぜたシュークリームを作ってあげた	唐辛子シュークリーム食べてどうなった		
食べる直前にお味噌と豆腐を投入する	お味噌と豆腐は直前がおいしいの		
確かに生のタコは美味しくない	タコはたこ揚げかたこ焼き		
夜寝る前に湯呑で緑茶を飲んだ	湯呑で酒飲めよ		
トッピングにほうれん草をよく頼んでた	ラーメンかカレーかな		
パン生地が美味しくない	生地自体がおいしくないのね		
休日最後の朝ごはんはパンケーキとプルーンで締めます	パンケーキは生クリームたっぷりね		
もぎたて観たらコロッケ食べたくなった	とりあえずコロッケかいに外出るか		
2016年11月26日(土)今日の鯨の囀り		Ｘ	
ラーメン屋でとんこつって言うつもりで		Ｘ	
頭にソフトクリーム乗せてた		Ｘ	
要望はショートケーキです	チョコケーキが美味しいのに		
大豆は男性を女性化し		Ｘ	
ぜひぜひご飯行こう	ちょっと忙しくて。。。		
シャキシャキのタマネギとそぼろが片栗粉のおかげかうどんに絡んで美味	片栗粉の加減って難しいよ		
カサゴとアイナメの煮付けつくりました	魚の煮つけ！食べたい		
夢二と同じ国に生まれた喜びをキャラメルと一緒に噛みしめる		Ｘ	
得意料理はロールキャベツです	私の得意料理はチャーハンです		
地元の飲み屋に来た時もウーロン茶やったみたいやし	烏龍茶はしけてるなー		
マグロが庶民だと思ったことはない		Ｘ	
鶏肉を油で揚げたものに勝手にレモンをかける	それから揚げってことだよね		
そろそろ玉ねぎを消費しないといけない	玉ねぎの消費には豚丼かカレーかポトフだべ		
ブロッコリーの不味さは異常	マヨネーズつけると美味しいよ		
人生で初めてコーン残さず食べれた	コーンすくうのが難しい		
フランクフルト食べたけどお腹すく	じゃあマックでもいくか		
スパゲッティが袖に付きそうで迷ってる	赤い服着てくればね		
ソースは重要です	お好み焼き、たこ焼きね		
エリアにギョーザ焼きたいですって言っておいた		Ｘ	
茄子もつくらなきゃダメ	ナスあればなんぼでも食べます		
残した料理を皿の間に挟んで隠す	それはさすがに非人道的だよ		
これからホッケの開きを焼く	ホッケは焼き加減注意してね		
チューハイも増税する	チューハイ増税したら厳しいかも		
美味しい茶菓子とお茶を出してあげよう	えーできればチョコがいい		
やっぱり鯵の三枚おろしは覚えよう	私にも後で教えて		
枝豆死ぬほど食べました	枝豆食べてたってことはのんでたの？		
枝豆は辛いことない		Ｘ	
スイートポテトの雪見だいふくかみさま	ぜひその雪見だいふくは食べたいです		
焚き火といったら焼き芋でしょ	焼き芋とアルミ買ってこーい		
決してマスカットとは書いてなかった		Ｘ	
バーボンの方はスパイシーな香りがする	バーボンか美味しかったの		
スコーンとかマドレーヌとかは一人で食べ切れる量つくれるから便利	大量に作ってみんなにあげないの？		
カニ描くの下手すぎた	カニ簡単そうじゃない		
匂いはかなり美味しそうなチャーシューの匂いなのに中身は簡素だ	中身が質素ってどゆこと		
釜めし食べたあ	釜飯の具はなんだった？		
玉ねぎの天ぷら食べたいお腹すいた	玉ねぎの天ぷらかーかき揚げでよくない？		
今日はじめて数の子食べられた	私は数の子はいまだに食べられません		
毎日かつおのタタキ食べたいです	スーパー行けばたぶんあるよ		
同じ味噌でもやっぱり違う	同じ味噌は同じ味でしょ		
果物ばかり食べていたら		Ｘ	
羊羹も少しもろた	羊羹甘すぎ		
ポテトから返事来ないんだけど生きてる		Ｘ	
さんで鮭を買う		Ｘ	
いちじく使ったケーキの最高峰であろう		Ｘ	
鍋類全般にワンタンの皮は合うから美味い	ワンタン入ったカップ麺もうまいよね		
芋あんもうちょっと欲しかった	あんは何でも多い方がいいんだ		
1話のお鍋の話を読み直そう		Ｘ	
ご飯すら食べず		Ｘ	
ヨコイのあんかけスパゲティと讃岐うどんは外せない	そんなに好きなの？		
さんまの番組を見てミスターのすごさをまた知った		Ｘ	
赤味噌にインスタントのうどん入れるだけです		Ｘ	
エイドリアンはメガネ男子がお好き		Ｘ	
この前のロールキャベツの出汁で巻いた		Ｘ	
あずきのアイマスク本当にすごい		Ｘ	
月曜は馬刺しやった	馬のたてがみは食べたことある？		
冷蔵庫に入れてたサラダを急いで食べたら		Ｘ	
ジンジャーとティーツリーとユーカリの精油に助けられた		Ｘ	
きのこも入ってるとなおよし	きのこはいれちゃだめだよ		
ピクルスとピーナッツの火山回の絵コンテだ		Ｘ	
ちょっと最後のポテト省いて長芋スタメン入りさせよ		Ｘ	
ほうじ茶飲みながら原稿進める	ほうじ茶やっぱ落ち着くよー		
行けたらミートしよ	ミートスパゲッティいいね		
梅干を焼くんだった	梅干を焼くなんて！		
砂糖が入った液体が飲みたいだけなんだ	コーラでもサイダーでもいいのね		
お茶とお菓子を用意したので一緒にどうでしょう	お邪魔するね		
今日食べた緑はキャベツです	私は青汁かな		
なべたとのやりとりが通知でくるの面白すぎる		Ｘ	
蒙古タンメンが美味しく食べれる辛さの限界です	確かにあれは辛ウマの限界		
オリーブ油を浴びるように使い倒すしかない	オリーブ油がどんだけ余ってるんだ		
新しいネスカフェのバリスタって7000円くらいで買えるんだ	７０００円なら安いか！		
ぶどう食べながら葡萄酒飲んでる人羨ましすぎるからはよ風邪治す	葡萄大好きかよ		
卵とブロッコリーは一緒に茹でられない	一緒に茹でられるって		
お肉とか揚げ物が食べたい	お肉と揚げ物とビール飲みたい		
鶏肉と大根の生姜煮込み	あったまりそうだね。		
鶏肉が大好きで今までフライドチキンを買ってしまっていた	そのせいで君は太っているんだね		
プレゼントの下見で煮詰まったらカフェラテで一息つきましょう	疲れたらカフェラテだよね		
名前が読めないラスクおいしい		Ｘ	
イナダのお刺身に里芋のコンソメ煮を添えます	見た目がよさそうだ		
相手はブリの富士っす		Ｘ	
コーヒーに合う茶菓子を買いに行きてぇ	クッキーとかだね		
人参のバター炒め	バター入れればとりあえず美味しいよ		
湯葉が食べたいです	湯葉って食べたことない		
松竹を松茸だと思ったまま過ごしていました		Ｘ	
うずら大きくなりすぎじゃない		Ｘ	
ジンジャーのL頼んだ	ジンジャーエールはよりコーラがよくない？		
きゅうりの歌聞いてみたい		Ｘ	
50匹埋めてしあわせタマゴを取る		Ｘ	
山椒の粉と適当にブレンドして食べるのが大好き	山椒辛くて食べれんよ		
バターが普通のバターになってた		Ｘ	
久し振りにチャンポン作ってみた	チャンポンは作るのだるい？		
うずらの卵買い忘れたけど八宝菜でした		Ｘ	
チャリに乗ってたらペットボトルの烏龍茶落としてしまったみたいで		Ｘ	
新米はだいすき	新米はうまいにきまってる		
きのこだけで簡単	きのこだけなんて絶対食えない		
コメダ珈琲店で遅めのディナーいただきます	リッチな夕飯いいなー		
コストコのプルコギは世界を救う	今度プルコギパーティーだな		
今年の玄米はモミが多い	今年の玄米はだめって意味？		
車内で納豆食べます	車で納豆は絶対だめ		
バームクーヘンの次に強いなら落ち込みませぬ		Ｘ	
リキュールもどんどん減ってく		Ｘ	
家でも牡蠣やってる	牡蠣嫌いだよー		
あさりの炊き込みご飯仕込んだ	貝類だめなんだよねー		
ピザをオーブンじゃなくて魚グリルで焼く	どっちの方がよく焼けるんだろうね		
半生してるならよし		Ｘ	
遅延してるから加州清光みがあるほうじ茶買ってみた		Ｘ	
やっぱり牡蠣でしょう	牡蠣すきだねえー		
旦那に御飯出してる間にもう流れがわからない		Ｘ	
今夜はピーナッツ吐いてた	どんだけピーナッツ好きなのよ		
アボカドの春巻き美味しかった	それどこで食べたの？		
そんな事を思いながらヨーグルト食べてます		Ｘ	
昨日作った鳥鍋の残りで雑炊を作成す	鳥の出汁でいい感じだねー		
テキーラ冷やして待ってます	飲ませる気？		
突然しらすが食べたい	しらすは別に食べたくない		
焼豚が食べたいんでしょ	焼き豚って最高においしい		
菓子にして喰ってくれて構わない		Ｘ	
塩辛を買うとスプーンをつけてくれる	塩辛イカだからたべれない		
辛子はとてもお洒落に仕上がりました	辛子を作ったの？		
目覚ましに冷たいカフェラテ飲んだせいで腹に来てる	カフェラテがお腹にくるとかなくない？		
我が家のレタスは雪にも負けず	何か秘密があるのかね		
朝は味噌汁が飲みたい	私はパンと牛乳を飲みたい		
苺だいふくうまい	大福ならなんでも		
ビールとホタテの缶詰を用意しておいて下さい	ビールとホタテは微妙だな		
ナッツとの相性バツグンじゃん	ナッツは何とでも合うよ！		
銀杏や茶碗蒸しを食べれるようになり		Ｘ	
そろそろ蒙古タンメン食べたい	アー確かに。渋谷いこ。		
サワーで死亡です		Ｘ	
あの時間からチョコレートとアイス食べた	それはさすがに太る		
ひじき煮もうまい	ひじき煮を食べようとは思わない		
クランベリーはやっぱ最強なんだ	どういう意味で最強なの？		
腹一杯で雑炊までたどりつきませんでした	〆はちゃんと食べないとー		
蜂蜜と風呂場好きっていったら		Ｘ	
赤い万願寺唐辛子をグリルで焼きました		Ｘ	
帰りイワシ買わなきゃ	今日は焼きいわしかな		
めちゃらでかい白菜頂いてさっき解体してた	どんだけでかい白菜だよ		
6Pチーズにマスタードのせる	チーズにマスタードめっちゃいいね		
とりあえず蟹を愛でたい	蟹育ててカニ鍋だね		
赤飯になって今夜の食卓に並んでいました		Ｘ	
エリンギのバター粉チーズ炒め作って食ってから異様に臭う	チーズが腐ってるとかない？		
餅巾着とさつま揚げある	おでんの餅巾着だいすきよ		
ウーロン茶飲む気分で飲んだら		Ｘ	
明日急遽ぼっちになったのでミートなのぜひ		Ｘ	
スシローの茶碗蒸し食べたい	１００円寿司は信じていません		
煎餅にするのも美味しそうだ		Ｘ	
ママがチャリンコで里芋炊いて持ってきてくれた	元気なママさんだ		
久しぶりに酢漬けのよっちゃんいかを買ってしまった	よっちゃんイカ好きだね＾＾		
ペパーミントに比べると香りが穏やかで	ペパーミントは香りがきついよね		
驚くことに干し椎茸しか買わなかった	干しシイタケ何で買ったのＷ		
チャイ飲んだら治ってきた	スタバのチャイ美味しいよー		
いい肉の日ですが我が家はおろしハンバーグとほうれん草の白和えです	我が家はチャーシューラーメン食べに行きます		
豚汁でビール飲む	結構いい組み合わせ		
検定終わったらティラミスが待ってる	自分へのご褒美は大事だよ		
よりキックの強い食塩の方が好みだ		Ｘ	
無性に揚げ物食べたくなってきた	そんな時はセブンのから揚げ棒！		
草あり熊あり山菜あり	山菜は苦手よ		
砂糖が焦げた	カルメ焼きを思い出す		
今日バイトでふぐ鍋の雑炊食べさせてもらった	いいバイト先じゃん		
味噌は茄子につけて食べるのが好きでした	ナスと味噌ってけっこう最強		
1周年記念でもらったラスクも美味しい	何の記念？		
栄養満点のだし汁を作ろう	それは体に良さそうだな		
1番すきなお店のメレンゲもらった		Ｘ	
椎茸は菌系なので納豆等と同じくインフルエンザ予防になる	じゃあ納豆でいいや		
いまの米が無くなったら玄米にする事にした	健康意識して？		
無心でピクルス作ってた	なにしてんだよＷ		
美味しいと思って増やした給食のおかずが美味しくなかった	給食あるあるだね		
プリン作るの難しくない	プルンプルンのプリンはむずいよ		
かき氷のシロップを隠し持っていたら花丸あげちゃう		Ｘ	
今年はブルーベリーもキレイに紅葉してる	ブルーベリーも普通に紅葉するんだ		
飲んで荒れた胃に粥がしみる	そんな日にはお粥かうどんが最高ですね		
コラーゲンの増殖を促進し		Ｘ	
新芽の数がハンパない		Ｘ	
麦茶飲みたくなった	喉乾いたの？		
