発話文	応答文	xの場合x	(理由？なくても)
根菜ころころしちゃえ	根菜で遊んじゃダメだよ		
ねぇ長芋めっちゃおいしいありがとう		x	文脈
揚げ物には米って相場が決まってるでしょ	確かに揚げ物は米と一緒に食べることが多いね		
焼き魚とチーズケーキを食べる夢を見ました	チーズケーキは美味しそうだね		
ソフトクリームでお腹壊して寝れない	ソフトクリーム食べただけでお腹壊しちゃったの？		
とっても可愛い友人がクッキー作ってくれた	クッキーは私も食べたいな		
もう米も乾麺も底つきかけてる	米は早く買っておこうね		
小腹減ったから豆乳温めてハチミツいれてみた	豆乳とハチミツで満足できるの？		
きのこの山たけのこの里とか可愛いと思います	君はきのこ派、たけのこ派どっち？		
こりっとしたあわびとサザエの食感が忘れられない	あわびとサザエは食感がいいよね		
なぜか買うのはいちごの香りです		x	多分食べ物ではない
すり身の試食販売です	すり身はどうしようかな		
ご飯の上に乗せた明太子食べたい	明太子はご飯が進むよね		
普通にかき氷も大好き	暑い時のかき氷は最高だよね		
晩御飯はベーコンとレタスのオイスターソース炒めです	オイスターソース炒めは美味しいよね		
いちごみるくの飴が好きだ	私もいちごみるくの飴は好きだよ		
青菜も本当ひとつまみ程度やからさすがにやばみ		x	
ミルクも豆乳もなかった	私はミルクを切らさないようにしてるよ		
ブリがまだ体操服に残ってる		x	
生春巻きとプリンも美味しく頂きました	私もプリン食べたいよ		
筋とったアスパラもくたくたに煮たつくねも食べるの痛い		x	
レモンピールとかオレンジピールが苦手だけどレモン果汁は好き	私はレモンピールとオレンジピールも好きだけどね		
食べたかった豆腐と湯葉食べれて幸せ	そんなに豆腐と湯葉が食べたかったんだね		
にがり飲んでみる	にがりは苦いよ		
今晩も納豆いただきます	私は納豆は朝に食べるよ		
洗顔を豆に行う		x	
フライドポテトがスパイスが掛かって美味かった	フライドポテトは美味しいよね		
決死の思いで勝ったサンドイッチにケチャップはいってた	ケチャップが嫌いなの？		
朝の味噌汁ったらたまらん	私は朝には味噌汁飲まないかな		
本日の日替わりデザートは紅茶のシフォンケーキです	シフォンケーキは美味しそうですね		
明日はお肉とお豆腐買い足してお鍋したい	お鍋は美味しそうだね		
パインのカットフルーツはたまに買っちゃいます	私もカットフルーツはパインが好きです		
犯罪者が三角チョコパイとジュース奢ってくれた		x	
CDJにかき氷はありません		x	
その空き缶で目玉焼きを作ります	空き缶でどうやって目玉焼きを作るの？		
あたりつきのおかしとかアイスとかも当たるんじゃない		x	
かえみずの夜を見守るアロエになりたい		x	人名
賞味期限で思い出したけどラッシーを作る	ラッシーってどうやって作るの？		
この前あまったホットケーキミックスでスコーン作った	スコーンってホットケーキミックスで作れるんだね		
万代のあのふわっふわのパンケーキを食べたい気分です	私もパンケーキが食べたいな		
いココアとか飲んじゃってるんだろ		x	
焼き芋にボジョレー美味かったです	焼き芋はボジョレーと合うんだね		
バンパーの真ん中はグリル付けたら良さそうな感じします		x	食べ物ではない
辛味のなかにあるコクとうまみが特徴じゃん		x	文脈
ブラウニー強すぎない		x	ブラウニーが人名
カルビだけ抽出して食べたかった	カルビ以外も食べないと体に良くないよ		
炙り河豚の茶漬けが食べたいです	炙り河豚の茶漬けは食べたことないな		
コンビニでみりんを買ったら年齢確認された	みりんでも年齢確認されるんだね		
ババロアをロリババアと空目した	ロリババアとか一般人にはわからないからね	△	関係ない話題
オニオンとの話が比較的考え易い		x	
豆の絵文字ない	豆の絵文字なんて使う機会そんなにないよね	△	
ナッツで満足は出来んかった	ナッツは美味しいけどね		
ドライフルーツやナッツは意外とハイカロリーなので要注意です	ドライフルーツってハイカロリーなんだね		
ケーキは食べたら太るもんだ	ケーキはほどほどにするよ		
和風は本当にかっこいい	和風のどこがかっこいいの？	△	
たこ一のお客さんにホタテもらった	お客さんがホタテくれたんだね		
宝塚に着いたら豚汁食べてる楽しみにして頑張ります		x	
蒙古タンメンだけじゃ全然足りない	でも蒙古タンメンは美味しいよね		
どんなクエでも掛かってこい		x	
朝食後にもデザートがあらわれた	デザートはいくらでも食べられるよ		
納豆と大根おろしの組み合わせ最高じゃない	納豆と大根おろしは試したことないな		
青菜とツナと卵のマヨネーズ和え		x	
マンゴーはマジで面白い	マンゴーの何が面白いの	△	
BはAmazonで買ったんで、あとはシリアル集めです		x	
やっと餅買えた	私も久しぶりに餅を食べたいな		
とんかつもコロッケも醤油肯定派です	うーん、私は醤油はなしだと思うよ		
電車の中がシュウマイの香りにつつまれている	誰かがシュウマイを食べてるのかな		
喉にピーナッツが詰まり		x	
黄瀬くんにチョコ差し上げたかった		x	
キッシュ死ぬほど好きです	キッシュは美味しいけど、あまり食べてないな		
スープの無い食卓なんて考えられません	食卓にスープがないこともあるよ		
やっと大量の柚子見つけた	柚子はどこでも売ってる気がする		
パプリカの栄養素はピーマンよりも多いんです	パプリカはあまり食べてないな		
ニンジンの漬物持つシドは何度見ても飽きない		x	
ほうじ茶買ったらお		x	
100円ガチャでキウイ来た		x	
団子は食べたことありました	団子は美味しいよね		
晩はお鍋にしよう	ちょうどお鍋が食べたかったんだ		
お昼はガレットのお店に来ております	ガレットは食べたことないや		
イワシが土からはえてくるんだ		x	
3日ぶりに白米食べれた	白米じゃなくて何食べてたの？		
納豆とキムチを撹拌してから寝るのだ	納豆とキムチを混ぜたら美味しいの？		
カモミールのめちゃんこいい香りがする	カモミールは香りがいいよね		
大好きなアプリコットだったけど我慢した	アプリコットは甘酸っぱくて美味しいよね		
食後にパウンドケーキ食べたら		x	
頭から出てくるのはズッキーニだ		x	
そんな日は揚げ物をしよう		x	
枝豆とイカ焼きがたべたい	私もイカ焼き食べたいな		
ホットケーキ作るときに思ったけどバター売ってねえっしょ	バターはスーパーなら売ってるよね		
玄米を10㎏買って初めてコイン精米を利用した	玄米を10kgも買ったんだね	△	話題
晩ご飯食べてチューハイ飲んでいい気持ちで夜を過ごす	晩御飯の後のチューハイは最高だよね		
岩塩の角煮に見えた		x	
オイルの原料は燃える樹液を出す木の実だ		x	
うまい焼酎のちがいがわかった	私は焼酎の違いはわからないな		
関東の黒糖ふ菓子しか知りません	黒糖ふ菓子は大好きだよ		
サンマと焼き芋で太ったような気がしてならない	どれだけサンマと焼き芋を食べたのさ		
食べるラー油げっとできた	食べるラー油って美味しいの？		
虫は珍味で高級品なんです	虫を食べるなんて私には考えられないな		
まくりペンの01のホタテです		x	
かつおは流石に高いから買えない	だったら、かつおを釣りに行ってみる？		
シジミかアサリか忘れた		x	
柚子やいったら1日一個絶対怪我する		x	
芋煮の準備をしました	芋煮は美味しいよね		
珍しい味が珍味なら		x	
マドレーヌのアニメを凄く久し振りに見てた		x	
メープルは物を冷やす力があるんだ		x	
フライドポテトをつまみながら歌うことで		x	
ほうれん草のごまよごし食べたい	ほうれん草のごまよごしはたまに食べたくなるよね		
電車の中に黒糖のお菓子が立ってる	私の乗る電車では黒糖のお菓子がよく立ってるよ		
今夜は焼きうどん作ろう	焼うどんは最高だね		
ミント入れて牛乳入れたほうがおいしい		x	文脈
ウィンナー炒めました	ウィンナーは美味しいよね		
今晩のおかずです		x	が格がない
しめじのモチベがイマイチ戻らない		x	
個人経営店でパフェ作ってカフェラテいれてるのが一番楽しかった	パフェを自分で作るの？		
玉ねぎの漬物って初めて食った	私は玉ねぎの漬物は食べたことないな		
お粥さんと雑炊の違いがよく分からん	私もお粥と雑炊の違いは分からないや		
祖父に今年最後の梨やるって貰ったけどめちゃうま	梨は美味しいよね		
甘口始めました		x	
そらは抹茶が好き		x	
サーモンをポン酢でベトベトにして食べたい	私もサーモンを食べたいな		
最近1日1回はあずきにデレてる		x	
芋領でファミレス行くと高確率でフライドポテト頼むイメージがある		x	芋領とか普通言わない
豚肉は食べない	豚肉を食べないってムスリムなの？		
椎茸の天むす		x	
鯵を食べたら喉に骨が刺さってとれない	鯵の骨はせんべいにすると美味しいらしいね		
ラー油かけたら辛くて美味かった	ラー油は辛いよね		
ドリアとミートスパゲティは定期的に無性に食べたくなる	私もドリアは時々食べたくなるな		
パンも伊達巻もかまぼこもケーキも試食できる	なんでも試食できるんだね		
鍋も馬刺しも焼きも食べまーす	馬刺しは私も食べたいな		
かぼちゃとのタバコの動画みてなんか元気出た		x	
干し柿の味見に飽きてきた	私も久しぶりに干し柿を食べたいな		
その年だけ松茸食えなかった	毎年松茸食べてるの？		
エリンギ食べるときよく味わって食べる	エリンギは美味しいよね		
うちのオーブンの熱のまわり方の悪さを忘れてた		x	
梅田のD.Dはうすのまえにさんまがあるいてる		x	
朝から親にベーグルとドーナツの違いについて力説された	ベーグルとドーナツって全然違うよね		
その前に珈琲入れよう		x	その前
生姜の粉末入れすぎた	生姜を飲むと落ち着くよね		
バターと塩とコンソメを足してみた		x	
ラー油と迷ったからさあ		x	
野菜たっぷりミネストローネ美味い	ミネストローネって健康的だね		
まともなお茶が入らないんなら		x	
ワイバーンの卵焼きを999個販売しました		x	
魚料理のメニューはキスのフライです	キスのフライは最近食べてないですね		
しらすのお時間です		x	
最高級のシャンパンを振る舞ってやれ	はい、最高級のシャンパンです	△	
もずくが判定甘		x	
揚げたて美味しくいただきました		x	
大根食べたくなってきた	はい、大根あげるよ		
ナンバカ最新話見て出勤してきます		x	
そろそろ玄米なくなる	普段から玄米食べてるの		
ほんまに奈良でごはん行ったり遊びに行ったりできる友達ほしい		x	話題
珈琲は嗜好品だ	私は珈琲を何度も飲むけどね		
牡蠣要らないです	牡蠣は美味しいのに		
すごい麦茶がおいしい	すごい麦茶ってすごそうだね		
生ハムとかキッシュとかのプレート買った	これで毎日キッシュが作れるね		
今日はショートケーキを買ってきました	ありがとう、私ショートケーキが好きなんだ		
明日の朝ごはんはサーモンアボカド丼とレバー煮よ	サーモンアボカド丼は美味しそうだね		
ナスとキュウリ持ってって精霊馬でも作って飾る	私は精霊馬を作ったことはないな	△	
パンツマンの豚肉のコーラ煮		x	
ホイップクリームの列に見えた		x	
ししゃものバンドマンを聞く		x	
山芋買ってきます	山芋の他には何も買わないの？		
こないだから道端で穴子が干物にされてんだ		x	
今度トマトとほうれん草とひき肉をぶち込んだカレーを作ってくれ	トマトとほうれん草とひき肉をぶち込んだカレーを作ってあげよう		
貝のかわりにスマホ持ってて欲しい	私には貝すらも持たせてくれないの	△	
シロップを炭酸水で割ったのがまたうまい	何味のシロップを割ったの？		
お夕飯グラタンと味噌汁だった	私もグラタンを食べたいな		
今回のパウンドケーキはオレンジピールが入ってます	パウンドケーキにオレンジピールは相性が良さそうだね		
もはやまいにち生牡蠣でよい	毎日生牡蠣はさすがにちょっと飽きるかな		
ぶどうじゃなくて別のフルーツを使ってもいいらしい	じゃあオレンジやイチゴとかも使おうかな		
生ハム会いてえ生ハム食べてぇ	どれだけ生ハムに飢えてるのさ		
今日はクエの追加なし		x	
手が滑ってキムチが落ちた	キムチを食べてたの？		
おシェフの赤出汁と牛肉の煮込みが食べたい	私も牛肉の煮込みが食べたいな		
ひっさしぶりに焼酎飲みすぎた	焼酎は普段飲まないんだね		
クリームチーズのオススメの食べ方を教えてほしい	クリームチーズはアボカドと相性がいいらしいよ		
南瓜のかき氷を食べてきました	南瓜のかき氷なんて味が想像できないや		
火を通した海老が好き	私は火を通してない海老も好きだけどな		
日本だからしょうが無いけど怖い		x	
イモが長くなった	芋を育ててるの？		
ヨーグルトぶち込んで食べた		x	何に？
真剣に勉強してるのにお父さんがホタテの歌を歌ってくる		x	
御倉をおかずに白飯食べたーい		x	
炭酸が染み渡った頃にカーッと言う		x	
とんがりコーンで乾杯した	とんがりコーンは美味しいよね		
たまたま通りすがった友人に柿をもらう	今年は柿を食べてないな		
あとは燻製にされた保存食だ		x	
薔薇のアイスクリームのお店ができてた	薔薇のアイスクリームってどんな味がするんだろう		
今夜中に頂き物の白菜を漬けてしまおう	白菜の漬物を作るの		
男子高校生にパイナップルの切り方を教えてもらいました	パイナップルって普通に切れないの		
温かい紅茶とスコーン楽しんでくださいませ	紅茶とスコーンって優雅だね		
ごぼうの炊き込みご飯がめっちゃ美味しくて炊いてる時からはぁ		x	
一個の果実を十分に成長させることができない	果実を育ててるの？	△	
具のない酢豚はこのササミにかけます	具のない酢豚は酢豚ではないよ		
お茶屋さんで頂いた煎茶が甘くて美味しかった	煎茶は最近飲んでないな		
塩だけじゃなくて他もおかしい		x	文の意味
ローストバターの香り豊かなクロワッサン美味しい	クロワッサンは美味しいよね		
お母ちゃん炊き込みおこわ作る		x	
オレンジの移動意味わかんない		x	
カステラを1斤で食べたい	カステラは最近食べてないな		
空く予定のないウイスキーが空いたのも分かっている		x	
ケチャップで馬ー鹿wとかしんどすぎる		x	
わかめに貝が_駆除しなきゃ	 	x	
ブリ大根の煮汁でカラスガレイを煮		x	
カレーに生姜いっぱい入れてスパイシーにしよう	私はカレーに生姜は入れないかな		
雑炊は仕方ない		x	文の意味
メンマって割り箸でできてるん	メンマはタケノコからできてるんだよ		
おかずの慈悲をどうか	あなたに玉子焼きを与えよう		
うちの家では雑煮オールシーズンです	雑煮好きだし、羨ましいかな		
今度は柿の種を頂きました	柿の種はたまに食べたくなるね		
カリーに惚れてこんなたった		x	人名
オレンジピールの方が数千倍好みでした		x	比較対象がわからない
ガトーショコラと栗のショートケーキをあおさんと山分けします		x	人名
すっぽんとトミトミ似てる		x	人名
アイスクリームのスプーンをイメージしたドアハンドルを装備しました		x	話題
ハーブのお酒見つけたら買ってみよう	ハーブのお酒って美味しいの		
東京ってラーメンに高菜入れるの有料だったりする	高菜が有料って本当なの		
ビスケットと牛乳片手にドラマ見るの幸せすぎて絶対太る	私はビスケットとコーヒーかな		
東京には無いおかずの取り合わせでした	どんなおかずがあったの		
スパイスを付け加えることが可能	じゃあ私はスパイスを付け加えようかな		
豚肉に当たってお腹が痛い	豚肉はしっかり火を通さないとダメだね		
しめじってただ容量めっちゃくうだけのものだと思ってた		x	
美容院で頭にキノコ生やした		x	
コシヒカリよりも粘りが強かった		x	
南瓜とのLINEはいつもこうです		x	
シャコでソロバロン出来るの知らなかった		x	
妹の卵焼きうまい	妹が卵焼きを作ってくれるんだね		
するめよりも干し芋を炙りたい派です	干し芋は炙りたくないかな		
海であんなボディに逆ナンされたら		x	
今日はもう素麺だけにする	素麺も美味しいよ		
麺類で一番太らないらしい		x	
鶏肉のカシューナッツ炒め		x	
かぼちゃに海パンだった		x	
茄子で軽減できるやろ		x	
オーブンで焼かれる肉の気持ちになった	オーブンで焼かれる肉の気持ちなんて分からないや		
あっくんのせいでお鍋したくなってきた		x	
おばあちゃんのお家で水炊きでした		x	
卵焼きに愛されてるう	卵焼きは好きだよ		
飲み会で緑茶を飲み続けた	さすがに緑茶だけって飽きるよね		
煎って砕いた豆の煮汁とは驚いた	煎って砕いた豆の煮汁ってコーヒーのこと？		
海老まよさんおはようございます		x	
白菜にしもんぬ描いて欲しい		x	
乗馬したり鞭を扱ったりにんじんを食べていただいたりする	乗馬するんですね	△	
大根とイカのグラタン美味しかった	大根とイカのグラタンって面白いですね		
すだちんこ怖い		x	
先週食べた馬刺しが美味でした	馬刺しは美味しいよね		
バームクーヘン美味しく頂きます	バームクーヘンは美味しいよね		
ベーグル作るつもりがハード系パンを作ってしまった	ベーグルは作るの難しそうだね		
おかゆと水分のみの一日が終わり		x	
人参拾ってしまった	なんで人参が落ちてたんだろうね		
バニラ風味のパウンドケーキが焼き上がったばーい	パウンドケーキは美味しそうだね		
たんぱく質だから卵の白身と同じ感じじゃない		x	
鯖の炭火焼定食でした	鯖の炭火焼は美味しそうだね		
完熟の柿ほんとに美味しい	柿は最近食べてないな		
ゴマないからってアーモンドは分かんない	ゴマの代わりにアーモンドは意味わからないよね		
春雨があれば何とかなる	春雨が好きなんですか		
ウォッカ割りません	ウォッカは割らないきついです		
キリンの広告で見た里芋のチーズ焼き作ってみた	里芋のチーズ焼きって美味しそうだね		
おかずの量に日々悪戦苦闘だお	おかずの量は難しいよね		
ニベアのリップクリームのオリーブとはちみつって膝丸と髭切じゃん		x	
あしたは待ちに待ったスペアリブの食べ放題いく	スペアリブは私も食べたいな		
ボルシチと鶏のポタージュ美味しかった	ボルシチは美味しそうだね		
珈琲飲み過ぎた	私もよく珈琲飲みすぎるよ		
食後のデザートは塩むすびにかぎる	いやいや塩むすびはデザートじゃないでしょ		
名前もわさびちゃんとお友達が出来ました		x	
半年近くぶりのスペアリブはやはり美味でした	スペアリブは美味しいよね		
もう白米に塩かけて食べるのは嫌だ	白米に塩はさすがに飽きるよね		
シュークリームじゃ絶対お腹いっぱいにならない	シュークリームでも量を食べればお腹いっぱいになるよ		
メニューは甘露煮がストップです		x	
ショートケーキとチーズケーキが多く		x	
ぶどうの粒作ったのに組み立て方わからんくてやめた		x	
スタンプが10個貯まったのでカフェラテと引き換えた	スタンプが貯まるとカフェラテと引き換えられるんだね		
炙りマグロか鰹食べたい	炙りマグロは私も食べたいな		
約束してお茶してランチしてその日は別れ		x	
りんごに課金止められる額っていくらなんだろ		x	
ティラミスのマックフルーリー美味すぎた	ティラミスのマックフルーリーなんてあるんだ		
雨も鶴もぬしらにはまだ酒は早い	私だってお酒くらい飲めるんだから	△	
湿気った煎餅を食べてる	煎餅は湿気ると美味しくなくなるよね		
アイスを好きなのが正当で		x	
奥さんが柿の種を2袋買ってくるようになった	奥さんは柿の種が好きなんだね		
一緒に梨を食べましょう	うん、梨は好きなんだ		
酒飲んでした向いたらなんでヨダレ垂れるんだろ	口が開いてるからじゃないかな	△	
袋に入ったクロワッサン落ちてて		x	
あとで鶏ひき肉ともやしのあんかけをつくっておく	実は鷄ひき肉ともやしのあんかけって食べたことないんだよね		
炊き込み御飯の仕込みしたら腹減ったからこんにゃくのラーメン食ってる	こんにゃくのラーメンって何？		
パパからもらった甘栗で頑張ろう	甘栗は美味しいよね		
こんな時間にスパゲッティ茹でて食べ切ってしまった	スパゲッティを食べた分だけ動けば問題ないよ		
ちまきのこと覚えてるかなっ		x	
揚げ物を先に作ってしまったんだろう	揚げ物を先に作ったら問題でもあるの		
晩飯にホットケーキを食う為にメイプルシロップを買って帰るか悩む	ホットケーキはミプルシロップがなくても美味しいよ		
開封済みの蜂蜜の古いのって使える	開封済みの古い蜂蜜は使わないほうがいいと思うよ		
玉ねぎ二つ分の野菜炒め食べてお腹いっぱいになった	たくさん野菜食べてヘルシーだね		
久しぶりにgoしたらタマゴからラプラスちゃんでてきた		x	
なぜ冬瓜からタバコの臭いがするんだ	それは君が南瓜を嗅ぐ前にタバコを吸ってたからだよ	△	
切り身の肉食べられる	切り身の肉は食べられるよ		
特にはないけどチョコはビターの方が好き	私はチョコはミルクが好きかな		
緑茶のほうが目が覚めるらしい	緑茶にカフェインがたくさん入ってるってこと？	△	
玉ねぎって不眠にいいらしい	不眠の時は玉ねぎを食べてみるね		
新宿着いたからタピオカの行列に並んでいる	タピオカは美味しいよね		
うちに持ち込まれた酒類は全部ブロック肉の煮込みに使ってる	酒類全部煮込みに使うなんて贅沢だね		
帰りがけにキャラメル買うてきた	キャラメルは最近食べてないな		
しばらく炭酸を断っていたら醤油がコーラに見えた	確かに醤油とコーラは色が似てるよね		
紅茶は水筒で飲むべきものではない	紅茶を水筒で飲んだら問題があるの？		
さぁ今日も元気にラテだ	わたしもラテを飲んで元気だそう		
ココアと抹茶ラテのせいで牛乳の消費量ががが	どれだけココアと抹茶ラテを飲んでるのさ		
なんか頭が痛くて食欲湧かないからゼリーだけにしよう	食欲湧かないときにゼリーは最適だよね		
今日は帰りに馬刺しを買って帰ろうと決意をした	馬刺しは美味しいもんね		
起きちゃったのでポトフの準備しました	朝食にポトフを食べるのかな		
ペッパーであることを誇り		x	
シャチといい鯨といい		x	
味はそんなに普通のはんぺんと変わんないと思う	じゃあ何が普通のはんぺんと違うの	△	
あんこ作って煮物仕込んで栗の甘露煮作ってる	私は甘露煮を作ったことないや		
ちか電話出ないし春雨食べてお風呂はいって寝よ		x	
煎茶と楽しむ和菓子はいかが	和菓子は大好きです		
さつまいも揚げてて油に手をつっこんでしまいました	さつまいもを揚げるときは火傷に注意だね		
鼻からレバーが出た		x	
熱燗のみたいと言いつつ昨日は普通に冷酒でした	冷酒でも美味しかったならいいよ		
けん坊さんお奨めの煮干し満喫させて頂きました		x	
右手でアーモンドを砕き		x	
今日は赤ワインです	私はワインは飲んだことないんだよね		
ウニで擦る癖がついてしまい		x	
このハウスは梅のハウスです	梅を育ててるの？		
甘栗のときほんと天使でしかない		x	文の意味
良質のデザートいただけた感じですっごく		x	
サイゼは隠し味的なはずのコンソメの味しかしない	コンソメは別に隠し味ではないと思うよ		
たまにタバスコ飲むって言ったらひかれたことある	突然タバスコ飲むって言われたら私もひくと思うよ		
夕飯は大根ペペロンチーノのイワシ添えを作った	私もペペロンチーノが食べたいな		
フライドチキンや鳥の竜田揚げ食べたい	フライドチキンは私も食べたいかな		
パイナップル見るとちめろーずが浮かぶ		x	
お茶が冷めてしまった	お茶は熱いほうが美味しいよね		
カシス足さないと色が微妙		x	
ラスクという菓子をもらった	ラスクは大好きだよ		
アツアツのだし汁に浮かぶアツアツ卵そぼろになった	そぼろはご飯が進むよね		
石焼き芋にマーガリン塗って食うのが好きだった	えー石焼き芋にマーガリンを塗るなんて考えたこともなかった		
金のエンゼルは本当にあったんだ		x	
煎餅の顔は一気に赤く染まった		x	
クリーミーなとんこつとか性に合わん	クリーミーなとんこつって何さ		
麺になりそうだ	何が麺になるの	△	
あ！！！！！！！！バイト先にドーナツ忘れた	ドーナツ取りに戻れば？	△	
めげずに本日も豚汁を作ります	豚汁は好きだよ		
春巻きの皮にチーズ挟んでクルクル	春巻きの皮にチーズって何を作ってるの？		
豚汁は諦めきれなかった	豚汁は美味しいもんね		
男性の方はもやしだったようで		x	
今日も芋が揚がる時間です	いつもこの時間に芋を揚げてるの？		
柚子のひとへぎって偉大		x	
お互い60%くらいまでしかマスタードになれてないし		x	
まぐろのたたきご飯が食べたあ〜い	私もまぐろが食べたいな		
嵐にしやがれで作ってたトーストやってみた	それってどんなトーストなの？		
アルコール度数9パーセントのチューハイとワインで気持ちよくなってきた	程よく酔えると気持ち良いいよね		
新米はやっぱりおいしい	私も新米を食べたいな		
お弁当のおかず作ったら逆転裁判やる		x	主題が違う
ユー君に教えてもらったオニオンも明日練習してみよう		x	
カスタードまで要求してくるとはね		x	文脈
生貝はできれば遠慮したい	生貝は嫌いなの？		
ストーブの前で焼豚になるところだった		x	主題が違う
ガソリン代がきになってしょうがない		x	
残念だけど作家さんのためになるならしょうがない		x	
今夜のディナーだ		x	
自分に甘すぎてショートケーキ買って食べちゃった	ショートケーキは美味しいから仕方がないよ		
ケーキのかわりに桜餅にロウソクをさしましょう	桜餅にロウソクはさせないでしょ	x	主題が違う
鱒が多すぎて手に負えない	鱒は塩焼きにすると美味しいよね		
猫の足跡があずきちゃんとお揃いだ		x	
楽しかったクレープいただいた		x	
煮汁はダシだが役に立つ	煮汁はいろいろと使えるみたいだね		
日本の渋谷のタワレコと大阪のフレークが紹介されとる		x	
残念なことにピクルスがメニューから消えている	ピクルスは美味しいんだけどね		
ハバネロを１００ｇ食べると死ぬ	そもそもハバネロは辛すぎて100gも食べられない気がするよ		
スヌーピーの作者はピーナッツかと思ってたら		x	
今しいたけの家でご飯食べてる		x	
朝食のラード食べてます	朝食がラードなの？		
友達の家にイワシ持ってきたら		x	
クレープの生地みたいになった	クレープの生地は美味しいよね	△	文脈
1日に茄子たべすぎだ	茄子は美味しいよね		
久々にとある小説読んだらバームクーヘン食べたくなった	私もバームクーヘンが食べたいよ		
酒を呑みたい	酒は今はそんなに飲みたくないな		
ほうじ茶が好きな人はハマると思います	ほうじ茶は飲んだことないや		
開封したときに小麦のいい香りが漂います		x	文脈
今日は牡蠣めっちゃ食べれて最高でした	私も牡蠣をいっぱい食べてみたい		
香川はヤリイカ入ってこないしスルメも子イカしかこない	ヤリイカは美味しいんだけどね		
急いでエクレア食べよう	エクレアは美味しいよね		
カワハギとどう見間違えたんだ		x	文脈
シュークリームの包み紙まで食べようとする	シュークリームは食べづらいよね		
油揚げとお餅で餅巾着を自作した	餅巾着を自作するなんて頑張ってね		
キノコと野菜とお肉が入った		x	
赤ワインにカラムーチョが合うことが分かりました	赤ワインとカラムーチョは合う気がしないんだけどねぇ		
生肉喰ったのは流石にマズかった	生肉は食べたらダメだよ		
今日もオーブンに入ってきます	オーブンに入るってどういうこと？	△	
赤ワインと一緒にチーズを食べるとダイエット効果があります	赤ワインとチーズはなんでダイエット効果があるの？		
お弁当のストックでひじきの煮付けをつくってる	ひじきの煮付けは美味しいよね		
茄子の煮浸しとか好き	私も茄子の煮浸しは好きだよ		
葡萄の濃いゼリー食べてます	私もゼリー食べたいよ		
400円の小ビーフカレーしかない	ビーフカレーは美味しいからいいじゃない		
具に角切りのこんにゃくが入ってた	こんにゃくは食感がいいよね		
帰ったらおかゆたべて毛布ぐるぐる巻きする		△	主題
市販のメンマ美味すぎてラーメン湯がいてる最中に無くなった	そんなにメンマ美味しかったの？		
