発話文	応答文	xの場合x	(理由？なくても)
牡蠣のガンガン蒸し		x	
釜飯美味しすぎた	何の釜飯を食べたの？		
おじいちゃんに菜の花を上げてぶどうを貰い		x	
昨日の静岡土産のしらすでしらすトースト作った	しらすって静岡土産なんだ		
マカロニは好きなんやけどペンネは苦手	そんなに違わなくない？		
練乳のお酒とかかわいすぎる	すっごい甘そうだね		
みのりんの安全が第一だからしょうがない		x	
白桃ずーっと年上かと思ってた		x	
胡椒の香りがいい	胡椒はついいっぱいかけたくなっちゃう		
赤ワインが飲めるようになってきた	赤ワインはクセがあるけど慣れたら美味しいよね		
生春巻きが喉に詰まって窒息するところだった	大丈夫？よく噛まないとダメだよ		
白菜と薄揚げ炒め		x	
大きなエビがいっぱいで腹一杯です	エビってそんなにお腹にたまるの		
白米に反応するいのちゃん愛でたい		x	
レモンとアセロラが喧嘩してる		x	
肉じゃが作ってⅣに見せたら		x	
今日の給食でやっぱりマヨネーズが苦手だということに気付きました	マヨネーズ美味しいのになあ		
ガトーショコラ美味しいお店ない	そんなことないよ、探せばあるよ		
船でホットケーキ食べてたお	ホットケーキ最近食べてない		
バリスタの講習を受けてみたけど楽しかった		x	
鍋に入ってた椎茸食べながらこの食感なんかえろ		x	
この時間に揚げ物食べてます		x	
この紅茶をチビにだせばイチコロだってユミルが言ってた		x	
やっとイチゴ出来てきた	甘いイチゴが食べたいね		
タイプの奴に直にドレッシングかけて食べてる女子大生おる		x	
ほうれん草は制限あって使えない		x	
ドライカレーと豚肉ときくらげの卵炒め		x	
卵の卵黄だけをいれる	残った卵白の使い道に困るやつね		
婆様にガトーショコラを買って帰ったのだ		x	
ビールとお酒のサワーを飲んではいけないんです	ビールもサワーも美味しいのになんで？		
玉ねぎがあるので味噌汁を作ることにした	玉ねぎの味噌汁美味しいよね		
霊感の鯨がさざ波さえ立てぬ		x	
鶏肉と生ハムとベーコンしか食べてない気がする	肉ばっかり食べちゃダメだよ		
まゆぽんの作ったスイートポテトが世界一美味しい		x	
鉄分補給に生のプルーンを食べ始めました	プルーン食べると鉄分取れるんだ！		
画像はグラタンメインだけどサラダもフルーティでたまらんかった		x	
うっかりのぞいたらイチゴが目に入ってしんだ	イチゴが目に入るってどういうこと		
カキフライと生ビールとかたまらんやろ	カキ食べられないんだよね		
とりまシリアルは全て欲しい人に先着で流しました		x	
豆乳にはちみつ入れるのめっちゃ美味しい	はちみつはいろんなものに合うよね		
ちょっと胃腸やっぱ疲れてるからおかゆ食べる	梅干しとか入れるといいよ		
しゃももがいない寝てる		x	
わさびで分かります		x	
まみりんのお陰でちょと元気出た		x	
トッポギを明太子とチーズと焼いたものを錬成してしまった	トッポギってなんだっけ		
おいしいから調子のってワッフルがっつり食べたら胃もたれした	何でも食べ過ぎたら胃もたれするよ		
つみれがボロボロと崩れる	つみれってそんなに崩れる食べ物だっけ		
おうちで釜めし作りたい	釜飯って土鍋とかでも作れるのかな		
セブンのほうとうに白菜はいってる	セブンにほうとう売ってるんだね		
そういう拒絶は浅葱見たくない		x	
ブラウニーはちょっと今無理なのでやめました	ブラウニーは結構重いからね		
風邪気味だったけどネギと生姜だけで回復できた	ネギも生姜も体にいいもんね		
やけくそなので昨日のあまりのそぼろ使ってジャージャー麺作る	ジャージャー麺ってそぼろ使うんだね		
今回はあのバーベキューしてた駐輪場に止めてないやん		x	
今夜はロブスターにしました	ロブスターって食べたことないけど美味しいのかな		
いい加減コンソメくらい買お	コンソメはいろんな料理に使えるしね		
学食でドーナツ売ってた	手作りドーナツとか食べたいな		
今日はアボカドとプチトマトとアンチョビのパスタにするんだ	さっぱりしてて美味しそうだね		
鰹と昆布のあわせだし		x	
蒸した鶏肉とかいいんでない		x	
胃の中の揚げ物が今頃きた	揚げ物は食べすぎると胃もたれしちゃう		
今年の大晦日はぜひ紅白見てのんびり過ごしてください		x	
早くマーガリンの真相を知りたい		x	
ほうれん草のおひたしに鰹節をたっぷりかけて食卓に並べた	おひたしには醤油と鰹節だよね		
ミナト北のカジュアルがセロリという女の子を出産しました		x	
練乳の味がした		x	
こりゃもうジャガーで芋でも焼きましょう		x	
今夜はカルボナーラが夕飯です	カルボナーラはとても好き		
昨日解凍して結局使わなかった豚肉があるのを思い出した	豚肉何に使うの？		
いちょうって打つと真っ先に銀杏って出る	銀杏っていちょうとも読むんだね		
生ビールが飲みたいと泣いています	仕事上がりの生ビールは最高だよね		
白子のお鍋食べたくなってきた	白子って美味しいの？		
イギリストーストの想像以上のマーガリンの量に惨敗しました	そんなにマーガリンいっぱい入ってるんだ		
しれっと焼きアーモンドも復活してる		x	
アーモンドとのツーショットお願いします		x	
ココナッツという文字を見るだけで笑えてしまう		x	
喉に枝豆が出来た		x	
麦茶とかを置いていただきたい	麦茶そんなに飲みたいの		
イチゴのなるクリームの木だ		x	
紫の照明がオレンジに変わったらビールを飲まなければならない	照明が何か関係あるの？		
マフィンの焼き上がりは11時30分くらいです	マフィン焼いてるのか！食べたいなあ		
わかさいもにはイモは使われていないらしい	わかさいもって聞いたことあるけど何なのかわからない		
深夜のタンメンは聖地だ	深夜に食べると太るよ		
黒糖もコーヒーも自我が強すぎてあんまり美味しくない	確かにどっちも苦手な人は苦手かもね		
お酒なう飲めないんで緑茶で何とか凌いでる		x	
ソフトクリームに練乳をかけ無心で貪る	練乳かけたら甘すぎると思う		
もう秋刀魚の顔見たくない		x	
衣が余ったので厚切りベーコンをフライにしてみたら		x	
米小麦芋の主食シリーズにアボカドが追加される日も近い	アボカドはどうやっても主食にはならないと思うよ		
長ネギとエノキと味覇のスクランブルエッグうめえ	珍しい組み合わせだね		
くるみは５時間睡眠でじゅうぶん		x	
お弁当食べたのキャベツとトマトだけやん	お弁当っていうかもはやただのサラダだね		
空腹にのむヨーグルトだけはおなか痛くなる	ヨーグルトってお腹の調子整えるはずなのにね		
唐辛子の辛さは控えめ	唐辛子は辛いよ		
カレーとラッシーて本当に合ってると思います	いい感じにカレーの辛さをまろやかにしてくれるよね		
黄身と色味あわせてきとるやん		x	
ARゴーグル付けてラーメンの画像見ながら素麺を食べてみた		x	
ヤバい連中と飲む酒が１番美味い	まったり飲めばいいのに		
主役である具の鮭だけまるごと床に落下しました	悲しいから3秒ルールで食べよう		
穴子とカニとイカを食べた	寿司かな？どれも美味しいよね		
リンガーハットで野菜たっぷりチャンポンにしよう	リンガーハットは安くて好き		
セロリの漬物がめっちゃ美味しい	セロリ食べられないんだよね		
弟１がバーベキューの写真送ってきやがった		x	
きゅうりは水分と肥料大好き	きゅうり育ててるのかな		
食卓に洋食があまり出さないのが申し訳ない	和食もいいけどたまには洋食も食べたくなるよね		
意外と美味しいペペロンチーノに出会うのは難しい	ペペロンチーノはいろんなお店にあるけどね		
紅茶を用意してみたんだ	紅茶は本当にお菓子によく合う		
ソフトクリームか甘いもの飲みたいからドライブついでに来た		x	
まだ若いから干し柿にはなりません	干し柿って熟してないのできないのね		
申し訳ないけど炭酸は飲めないんだ	炭酸苦手な人はたくさんいるから大丈夫だよ		
メルティーキッスとココアで最高に癒されよう	どっちもチョコじゃないの		
逃げ恥でにこにこしてるし白米がめっちゃすすむ		x	
今晩の主食も梨になりそうです	梨だけじゃお腹すいちゃうよ		
今年もエリンギいる		x	
どう見ても煎餅じゃないからチョコになった		x	
胡椒もイケる		x	
今日もお鍋だったのでぬくぬくです	鍋すると体あったまるよね		
里芋の梅酢和え		x	
貴様にオリーブは早い		x	
マグロ釣るお仕事してます	マグロ釣るってすごいなあ		
肉じゃがを作ったらじゃがいもが消えたんだ	じゃがいもは煮込みすぎると崩れちゃうしね		
コチュジャン食べるためにお肉食べてる	コチュジャンだけじゃ味濃いもんね		
マドレーヌとバームクーヘン貰っちゃった	いいなあ、私も食べたい		
かき氷たべれるお店がどんどん減っちゃう	最近は結構増えてきてるよ		
砂糖いれても美味しくない		x	
今回のイベントはクリアより春雨落とす事が目的です		x	
ハムが餌を小屋に運んでる		x	
高菜いれたら辛かった	高菜って辛いんだっけ		
里芋と鶏挽肉の煮物とさつまいもの甘煮を作った	煮物大好きなんだね		
友達のくれるひと口サイズの干し柿が食べやすくてうまい	それは食べやすそうだね		
干し柿も食べたいです		x	
うな重食ってスタミナつけて夜勤に臨んで下さい	うなぎ食べたら夜勤も頑張れそう！		
こんな時間ですが胡瓜の浅漬けを作ってきました	きゅうりの漬物大好きです		
今日は思わぬデザートを頂きました	何をもらったの？		
シジミもアサリも禁句です	貝が嫌いなのかな		
チキンが10％を超える		x	
ねぇ床にキムチの臭い残ってる	キムチこぼしたらなかなか取れなさそうだよね		
シャキシャキ野菜とスープが絡む	野菜スープは野菜がしなしなの方が好きかな		
パパが作ってくれた水炊きと数の子が最高に美味しい	お父さんいろんな物作れるんだね		
もうもも肉しか食べない	もも肉美味しいよね、でも他の部位も美味しいよ		
胡瓜をかじってるところをお母さんに見られたくないんだ	何で見られたくないの？		
鯛にハマり過ぎてない		x	
素晴らしい麦茶とか言われたら買っちゃうじゃん	素晴らしい麦茶って何が素晴らしいんだろう		
まなこと生ビールで乾杯したい		x	
調べたら豊かな環境下で栽培すると辛味が出ないらしい		x	
年末に焼き魚にするらしい	焼き魚だったらサンマが好きだな		
微笑みながらウーロン茶でしのぎます		x	
自由が丘のパンケーキまた食べに行きたい	自由が丘に有名なパンケーキあったっけ？		
唐突に珈琲飲みたくなってきた	コーヒーも美味しいけどカフェオレが飲みたいな		
どの果物もさすがにひと月八千円分は買わない	メロンとかだったらそれくらいいくかも		
ひさしぶりにサザエ使った	サザエって美味しいのかな		
キウイ:100グラム1500ゴールドの数の子が3キロあります		x	
前の職場の人とご飯行ってきた	何を食べたの？		
朝から唐揚げとロールケーキ食べたら胃がもたれた	二つとも朝から食べるには重いねえ		
金柑の甘露煮の事が頭の隅っこから離れない	金柑って甘露煮にするとどんな味するんだろう		
今は肉よりモツ煮が食べたい	モツ煮は私も大好き		
最近は季節のフルーツをお取り寄せすることにハマってまぁす	フルーツのお取り寄せって高そう		
あったかいチャイの一番小さいのください		x	
ネモ先輩またキャベツ食ってる		x	
葡萄やめてえええええ		x	
にんにくとにかく大量にゃあ		x	
多分混ぜ足りなかったのか舌触り悪い茶碗蒸しだった	茶碗蒸しって作るの難しそう		
マカロンより美味しいものはない	マカロンは食感がたまらないよね		
飲み会の締めでアップルパイを食べ		x	
メレンゲ流してほしい		x	
500グラム以上のハンバーグ作ってわさびで食べたい	ハンバーグをわさびで食べるの！？		
今日は牛肉も食べてます		x	
学生にホールのバームクーヘンを与え		x	
バームクーヘン忘れるところだった	バームクーヘン食べたくなった		
タルト食べ放題行ってきた	タルトって美味しいけどお腹にたまりそう		
普段は枝豆の殻に豆を入れる作業をしています		x	
丸焼きにしたホッケの皮をべろんと剥いだら		x	
わかめと併せしたい		x	
はんぺんのレベルがどんどん上がっていく		x	
ご飯作る気力ない	外食したらいいんじゃないかな		
飴を一粒食べなさい	はちみつの飴が食べたいな		
明太子マヨ大根サラダのドレッシング無くなってくると汚い音がする		x	
卵とアボカドを組み合わせることで		x	
一瞬このまゆが生肉を持ってるように見えてしまった		x	
差し入れでベーグル頂いた	何のベーグルをもらったの？		
友人とお鍋なう	私も友達と鍋したいな		
卵は完全栄養食です	卵は栄養豊富だよね		
北海道民が食べて合格なウニでした	北海道はやっぱりウニ美味しいのかな		
オレンジの芯見つけたけどストック二本しかない		x	
レタスには睡眠作用があることで知られています	え、レタス食べたら眠れるの？		
アンケート答えたら玉ねぎが当たった	その玉ねぎでハンバーグ作ろう		
初めて馬肉頂きました	馬刺しはすごく美味しいよね		
ワカサギの南蛮漬けと鯵の南蛮漬け作った	南蛮漬け大好きなんだね		
甘酢あん下手くそでした	あんかけは作るの難しそう		
味がタピオカないのにタピオカの味するし不思議		x	
やっぱバリスタと違って味わいが無い		x	
そのあとスーパーに食材買いに行って家でロールキャベツを作る	トマト味のロールキャベツが食べたい		
柚子を沢山頂いたから柚味噌作った	柚味噌美味しそうだね		
うどんに七味どばどばかけたら思ったより辛かった	どばどばかけたらそりゃ辛いよ		
指って切ったらフライドポテトっぽくない		x	
ナッツは木の実のことで		x	
うわぁぁぁデカい玉ねぎ出てきた	どれくらいでかかったの		
ペッパーの髪型いいかもしれない		x	
しょうがないからrokudouhibariが16時をお知らせしてみます		x	
マスカットも柿も好きなんだ	私は柿は好きじゃないなあ		
漬物ってめっちゃ綺麗でない	見た目がかな？		
蜂蜜は強い酸性だから保存食として最適だ	酸性のものは保存食にしやすいの？		
厚揚げの牛肉巻き		x	
サツマイモとレンコンもらったんで早くおうち帰って料理したい	煮物とか作れそうだね		
多分アロエに勝てるものはない	アロエはヨーグルト以外で食べたことない		
砂糖と水を熱していきます	あめ細工作れそう		
そのラーメンにプリン入れたら最強になるみたいな思考やめよ	ラーメンとプリンって合わない気がするんだけど		
煮干し食いに行きたい	煮干しラーメンかな？		
うな重持って帰るから待ってて	うな重もいいけどひつまぶしも美味しいよね		
昨日からウィンナーがブームです	たこさんウインナー作ってあげるよ		
10円のおじやいる		x	
改造せんで塗装でゴマかすっ		x	
合鴨スモークと赤ワインの組み合わせ大好き	それはとっても合うよねえ		
明日のお弁当のおかずどーしよ	卵焼きは外せないね		
嫌でも薬味的な小葱なら		x	
帰宅って様子見つつソーメン食ってる	そうめんはいくらでも食べられる気がしちゃう		
わさびつけ過ぎていつも泣きながら食べてます	わさびはめっちゃ鼻つーんてする		
煎餅はその場に腰を下ろした		x	
炒飯とお好み焼きと焼き魚と味噌汁と白飯とおでんとカレーです	好きな食べ物がかな		
放置され鱈泣く		x	
目玉焼きをトーストに乗せよう	スクランブルエッグ乗せても美味しいよ！		
今日のお弁当は茄子と豚肉のピリ辛炒め	いいね、ご飯に合いそう		
ウチの蘭に新芽です		x	
間違えて肉じゃがにしてしまいました	肉じゃがも美味しいからいいよ		
焼き芋にチーズを山盛りかけてこの時間に食べた	うわ、すごい美味しそう		
やっぱりにんじんは生が一番だ	私は火入れないと食べられないなあ		
ご飯とおかずの量考えろって思う	ご飯多すぎると余っちゃうもんね		
全員勢いよく噛み付いて生クリーム吹き出して顔面大変な事になれ		x	
まだ白米たけてなかったみたいです	お腹すいちゃうよ		
うっパイナップル一気に食べすぎて胃が痛くなってきた	パイナップルで胃が痛いって初めて聞いたよ		
やっぱりテキーラはあかんと思う	テキーラは度数やばいよね		
豆腐と生ハムって合いすぎてやばい	割と珍しい組み合わせだね		
すっっっごく生クリームが食べたい	カロリー高いから太るよ		
クリームチーズ食べてる気分になる		x	
とりあえずのとりあえず水牛の写真は撮ろう		x	
どうして人はブロッコリーを食べるんだ	美味しいからじゃないかな		
まぐろが新鮮だ	魚は新鮮が一番だよね		
肉じゃが作って明日香に見せたら		x	
あぁアイスが喰いたい	ハーゲンダッツがいいな		
今夜は牛肉とごぼうの時雨煮	しぐれ煮ってなんだっけ		
今日もウイスキーでお疲れ様	ウイスキーなんてすぐ酔いが回りそう		
蓮根炒めいれるの忘れた	お弁当作ってたのかな		
黄身がいない		x	
柿が腐りそうだから寒天にした	柿の寒天って食べたことない		
白菜まるまると大根まるまる		x	
将棋のソフトを有り難う		x	
実家からみかんとキウイがとどいた	うらやましい、食べ放題じゃん		
昨日のアンチョビ伸びてる		x	
酢豚のタレで玉ねぎ食べた	酢豚酸っぱいのか甘いのかよく分からない		
ウィンナーとかハンバーグとか鳥は好き	肉が好きなんだね		
ホタテの貝ひもも好きです		x	
肉にチーズとサラミ乗せるデブ	太るけど美味しそうだね		
マンゴーとバナナ...おえっ		x	
薄切りにした豆腐を油で揚げた食べ物だ	油揚げのこと？		
実家で食べる雑煮と同じ味がした		x	
さつま揚げ食べながらまた芋焼酎飲みてぇ	いいおつまみになりそうだね		
カフェラテの方はこの前飲んだ		x	
まめたんと会ったら速攻でご飯食べに行きたい		x	
鶏肉はケンタッキーが世界一うまいんでしょ	確かにケンタッキーは美味しいけど世界一ではないかな		
アイスでも食って落ち着こうと思ったら		x	
五穀おはぎがうまい	五穀おはぎなんて珍しいね、食べたことないよ		
帰りにツッキーと御飯食べる約束してるんだった		x	
たまに無性に美味しいスープが飲みたくなる	スープ飲むと心が落ち着くよね		
周年祝いの赤飯頂きました		x	
酢豚の下に焼きそば入ってた	それは味が混ざっちゃうね		
今日はいいイチゴの日らしいです	じゃあイチゴ食べなきゃだね		
牡蠣ってアナルに入れるとどうなるんだ		x	
確かに餅やった		x	
クロワッサン乗ってますやん		x	
艦娘の血と肉と怨念というスパイスで生きてるでしょ		x	
今夜はお鍋食べに行ってきた	鍋とかいいな、私も食べたい		
辛くてニンニクが入っていれば何でもうまい	ニンニクは最強だよね		
その時はあさりありさでユニットを組んでもらいましょう		x	
ウィンナーが葉っぱだ		x	
半身浴しながら酒飲みながら仕事しちゃってる		x	
アセロラ乾いすぎない		x	
お鍋食べたいシチュー食べたい小籠包食べたい	食べたいもの多すぎるよ		
ひじきふりかけは微妙だった	あんまり美味しくはなさそうだね		
カレーはスパイシーなんだけど辛くはない	辛いものは辛いと思うよ		
ちんこの肉汁を堪能あれ		x	
ハーブはCMがまだない		x	
明日はチョコ系統と春巻きとりんご買わなきゃ	不思議な組み合わせだね		
+30円で生クリームとかもつけれまーす		x	
朝起きたばかりで口ぱさぱさになる覚悟でバームクーヘンたべたい	ぱさぱさになってまで食べたいんだね		
シャコは甲殻亜門だ		x	
ネスカフェのコク深ラテ美味しい	そうなんだ、飲んだことないな		
炭火で食べたい		x	
エッグスンシングスのパンケーキが1番好き	あれクリーム多すぎないか		
ハモは探したけどいなかったです		x	
気になるせんべろな生肉のお店を見つけてしまった		x	
大根おろしな猫が可愛い		x	
マーガリン結構パンにつけて食べるの好き	私はバターをつけたほうがいいなあ		
やっぱり鶏肉は皮が欲しい	鶏皮は美味しいよね		
やっぱりナスは苦手です	ナス苦手な人わりといるよね、美味しいのに		
27日はマカサラににんじんのピクルスをつけて販売しよう		x	
チーズをたっぷりかけてオーブンで焼く		x	
へーすけが豆腐食ってニヤニヤしてる		x	
鍋いっぱいに豚汁作った	そんなに作っても食べきれないよ		
好き嫌いせずに梅干も残さず食べろ	私は梅干し好きだよ		
ビターやったら尚良し		x	
うっすい水割り作ってくれる		x	
初めて飲食店でサラダを頼んだら青虫が入ってた	それは悲しいな、もう頼めなくなっちゃうね		
玉ねぎは卵とじ		x	
ガトーショコラ食べたからもはや栄養バランスとか無視してしまっている	野菜取れば大丈夫だよ		
その上に更にチーズを乗せ		x	
生姜たっぷりの雑炊にぶち込んだ		x	
今から真似っこサラダ作る		x	
酒粕を大量にいただいたので酒粕とチーズのパウンドケーキ焼いた	どんな味するんだろう、食べてみたい		
ブラウニーの方は季節限定だから期待通りの味で良かった		x	
烏龍茶にします	私は緑茶のほうが好き		
コンビニでもオレンジピール入ったチョコあったような	オレンジとチョコって意外と合うよね		
脇からコロッケの匂いがする		x	
カラオケの微妙に高いフライドポテト食べまくってる	たいして美味しくないのに高いんだよね		
肉汁たっぷりかつアボカドがヘルシーです		x	
弟が好きなわしのとりそぼろも作ってるなう		x	
豚まんしか売ってなかった	たまにはピザまんとか食べたくなるよね		
逆に餌になるイワシが減る		x	
炊飯器にご飯がなかったのでスパゲティにしました	ご飯冷凍しておけばすぐ食べられるよ		
人参はあとでゆっくりリプ返そう		x	
白身の魚なんです		x	
シャンパン開けて待ってる	シャンパン早く飲みたいな！		
美味しいチヂミ作れるようになったら		x	
美味しい料理を食べたい	作ればいいんだよ		
チューハイより梅酒かワインかハーブのがいい	ハーブのってなに？		
親からえげつない量のラスク送られてきた	ラスクばっか送られても食べきれないよね		
冷奴にウスターソースをかけてしまった後なんかは特に		x	
さつまいもとかぼちゃと里芋食べすぎて苦しい	全部お腹にたまりそうなものだもんね		
ほうとうの配給始まった	ほうとうのあの麺すごく好き		
ムカつきすぎて卵3つ使って卵焼きつくった	すごい大きい卵焼きになりそうね		
なんか今お酒よりも暖かいほうじ茶と和菓子で癒されたい	ほうじ茶ならすごいリラックスできそう		
ペペロンチーノを本気で食べる	本気で食べれば2人前は余裕だね		
何故かはんぺんを連想してしまったのである		x	
レンコンどんな味か忘れた	レンコン味なくない？		
シナモンと一緒に晩御飯です		x	
暖かいほうじ茶でしのぎました		x	
メレンゲで中野やってる		x	
レモンを丸ごと塩漬けにして発酵させたものです	そんな食べ物あるんだね		
春巻き食べ過ぎた	春巻き美味しいから食べ過ぎちゃうよね		
黒糖は甘くて美味しい	美味しいけど、あんまり単体じゃ食べないかな		
ライチとかよりかは難しい		x	
茶碗蒸し食べたけどうどんたべたい	どっちもさっぱりしてるからつるっといけちゃうね		
今日は食パンを手づかみであげてみた		x	
蒙古タンメンを作ってから開けた		x	
毎度のことだけど玉ねぎで何度か泣いた	玉ねぎ切ってて泣かないことないな		
どんな半生を過ごしてきたんだ		x	
うち冷蔵庫４個あるから余裕でアイス入る	冷蔵庫そんなにいらないでしょ		
そんなうちの晩御飯はミネストローネです	いいね、フランスパン食べたくなるね		
あさりの澄まし汁はうまい	すまし汁の定義がよくわかんないんだ		
今日もターキーのこと好きだ		x	
学校のお弁当のおかずに塩辛を持って行ったら		x	
やはり焼酎がうまかった	焼酎そんな美味しいのかあ		
ロゼより赤ワインの方がすき	何が違うのかわかんないよ		
コストコのティラミス美味いけど減らね	全部量がハンパないもんね		
ポトフのオシャレさ全くない		x	
藻さんはただの海藻です		x	
ひさしぶりに唐辛子じゃなくて胡椒を使ったら		x	
カルビが写真と比べて少ないって噂だったけどどう		x	
女の子選んでお茶だって飲めるじゃないなんて素敵だ		x	
スコーン作るのとても楽しい	スコーンって材料何使っているの？		
フォアグラとか牛肉乗せるのは頭おかしいと思う		x	
お洒落すぎるおかきを見つけました	おかきでおしゃれってどういうことだ		
もう卵子無いやろ		x	
)甘めのタレが食欲そそります		x	
わさび入ってるお店だとわさび抜き頼むのめっちゃめんどい	寿司屋だとだいたい入ってるよね		
ホッケ落ちたの気づかなくてすいません		x	
煎茶はマスターしたからいよいよ抹茶たてる	抹茶立てるのはコツが要りそう		
なんか肉じゃがに見える		x	
昼飯はペペロンチーノらしい	私もペペロンチーノ食べたい		
牛肉食べたら舌が痺れる	なんでしびれるの？		
じゃぁ生クリームにする		x	
めっちゃ美味そうな馬刺しやん	馬刺し好きだから食べたいな		
深海カフェで販売するクッキーを朝から沢山作っています		x	
ちらりちらり蛤が舌をだしてゐる		x	
コラーゲンは塗るより食べるなんだ		x	
蜂蜜を頭に乗せると毛が生える		x	
そばうどんはにんじんを食べtそばうどんが仲間になった		x	
お昼は芋から食べる	芋より野菜から食べたほうが太りにくいよ		
エッグとクロワッサンな朝食たまらない	理想の朝食だねえ		
小ライスと一緒に食べると2倍楽しめます		x	
551の豚まん買って帰路につく	551の豚まんは大阪行ったら必ず買うなー		
ツナの日ｗｗｗｗｗｗツナ缶わりと好き		x	
ゼリー持ってきてくれた	なんのゼリーだったの？		
緑茶と一緒に淹れる		x	
揚げ物は割と難しいからグリルチキンから始めてみよう	揚げ物そんな難しくないと思うけどなあ		
スルメが止まらない	噛めば噛むほど味が出るよね		
北海道のホタテお取り寄せしたんだった	北海道の魚介は最高だよね		
おかゆとかおうどんとか消化にいいもの食べたい	風邪でも引いたの？		
可愛いグミのさくらんぼが食べたい		x	
最近中国人旅行者に豚まんが人気だそうです	本場の豚まんより美味しいのかな		
アイスとプリン今から食う	どっちかにしなよ		
きのこもカップルに苛立ちを抑えることが出来ていない		x	
ヤシの木がめっちゃ成長してる		x	
レタス少し歯茎に食い込んでた	レタスってそんな歯につまらないはずなんだけどなあ		
おでんとミネストローネの頻度が高い	どっちもあったまるから冬には欠かせないね		
魚もタラコも今日安いのだ	安いなら買うしかない！		
とても卵かけ御飯の匂いがしてたまらない	卵かけ御飯の匂いってどんなのか想像つかない		
開始からテキーラ空いてます	いきなりテキーラは飲みすぎだよ！		
車だと酒が呑めない	飲酒運転はダメだからね、電車かタクシー使おうね		
山口でフグ食べたい	ふぐ刺しとかすごく美味しそう！		
ぎーちゃんのせいで口から納豆とんだ		x	
メープルシロップ使ってどうやったら恐ろしい味に使えます		x	
赤身が1番いい		x	
アイスのカップも冬仕様にしてほしい	冬仕様のカップってどんなの？		
セブンで買った雪印のカマンベールめっちゃ美味しい	カマンベールチーズは正義。		
自分の家の卵焼きしょっぱすぎるらしく		x	
シュークリーム食べて寝落ちしてた	クリームでベタベタじゃん		
シュウマイと新米で食べ過ぎる	シュウマイとご飯はよく合うよね		
ワンタンは明日にしました	ワンタンスープとかにするのかな		
白玉なんだか枕が大好きで		x	
白菜の３分の１玉の半分以上食べた	茹でたらそんなに量なさそう		
これからおばーちゃんの料理のお手伝いします	えらい！何作るの？		
シャンパンつぐときが緊張する	こぼしちゃいそうで怖いよね		
たまに無性にライフのクロワッサンが食べたくなる		x	
このスタイルのちまき初めて見た		x	
エクレアの排出率見せたら鼻で笑われたお		x	
タピオカ持って列並んでます	タピオカの食感なんともいえなくて美味しいよね		
あとは作り置きのもやしのナムルを食べた	もやしのナムル私好きだな		
カフェオレにコイン削り付いてた		x	
本命のヒラメは釣れず		x	
肉厚の椎茸をアホほど食べたい	焼きしいたけにしたら美味しそう		
プリンって言うのでなんとでもよんでください		x	
抹茶のバームクーヘンめっちゃ美味しい	抹茶味のバウムクーヘンはそんなに食べたことないなあ		
ほうじ茶のんで		x	
まじでイモ引いてる		x	
今すぐごま豆乳鍋か白菜と豚肉のミルフィーユ鍋食べたい	どっちも美味しそうだから両方やろう		
