発話文	応答文	xの場合x	(理由？なくても)
みかんの白い所もパセリも食べます	食べた方が良いんですよね		
レーズンがどのくらい必要なんだか小一時間問い詰めたい		x	なんで
大根おろしがお花になってるのが可愛い	食べるのがもったいないですね		
カルボナーラに黒コショウと間違えて青のりかけてしまった	次から気をつけましょう		
天気いいしその時間あたりにその辺で待機しときます		x	食べ物じゃない
今日は11/16だからいいイモの日らしい		△	日にちいいの？
唐突にショートケーキを食わせる萌えを発見してしまった	そんなことがあるんですか		
今日の夜は蟹なので間食しないようにしよ	それは楽しみですね		
焼き魚落としそうになった	気をつけてくださいね		
飽きちゃったから大量にさんまの甘露煮作った	出来上がりが楽しみですね		
馬肉のカルビを初めて食べましたとさ	美味しかったですか		
チェリーの同時当選確定目が出たと思ったら		x	食べ物じゃない
食パン焼いたら最高の焼き具合で感動したっ	それは良かったですね		
ミニストップの席に柿ピーのピーナッツだけ置いてあった	ピーナッツ美味しいですよ		
スマップのオレンジ聴いてたら		x	食べ物じゃない
学校でフランクフルト売ってたんやろ	そうだったんですか		
果汁は絞って柚子酢を作った	それは美味しそうですね		
おかず入れ忘れちゃった	次から気をつけましょうね		
プルーンも杏も要らない	好き嫌いはよくないですよ		
農場産の新米を購入しました	それは美味しそうですね		
お昼先輩がうな丼奢ってくれたあああ	うなぎは美味しいですよね		
スパゲティが今日のご飯だ	たまには麺もいいですね		
クリームシチューからトーストの気配を感じる		x	意味
おかんが法事でもらってきたグレープフルーツ食った	大丈夫でしたか		
お腹すいてないけど水炊き食べに行きたい	美味しいものは別腹ですね		
おでんは糸こんとロールキャベツが美味しいです	自分は大根が好きです		
カフェラテ飲んだらお勉強再開だ	頑張ってくださいね		
クローチェのレジ横にベーグル売ってるの知らない		x	意味
ご飯にしょうゆをかけて食べている	単純だけど美味しい		
酒買って飲みながら帰ろ	気をつけてくださいね		
気がついたらおかゆ温めてたのはびびった	おかゆ美味しいですか		
近界名産の漬物を召し上がって頂こう		x	誤字？
その上に卵の黄身が乗ってます		x	何の
ジャスミンの花言葉は優美		x	食べ物じゃない
とりあえずカフェオレでも飲んでおこう	甘い方が好きですか		
ピーチの気持ち知らなかった		x	食べ物じゃない
焼酎と日本酒でアルコール消毒しよ	それは大丈夫ですか		
好き嫌いせずにトマトも食べなさい	頑張って食べますね		
かき氷始めました	かき氷は冷たくて美味しいですね		
納豆ご飯と味噌汁すすってたとこっす	体に良さそうですね		
めんつゆで煮た小松菜が大好き	どんな味なのか気になりますね		
お弁当のおかずの作り置き	作り置きは便利ですよね		
まだ牛乳飲めないんだ	牛乳は体に良いですよ		
ブリが丸ごと一本来た	それはすごいですね		
お母様が肉じゃがにミルク入れてる	そういうこともあるんですね		
忍者の作った漬物まるっ		x	意味
スイートポテト喜んでくれて良かった	美味しそうですね		
給食のデザートのプリンが一個残ってる	早い者勝ちですね		
鮭かおかかがあったらお願いします	どっちも好きなんですか		
アサリの出汁とかうまいにきまってんだろ	それには同感ですね		
中半熟も良いとこだからもうちょい焼こう		x	何が
肉は肉汁凄かった		x	何の
幸せそうなべだくんがすぐ想像できます		x	食べ物じゃない
太刀魚の塩焼き美味しかった	それは美味しそうですね		
今日のはカフェラテにラスクが浮いてた	そんなこともあるんですね		
ウィンナー炒めてチーズと卵流し込んだ	それは美味しそうですね		
完全防備でこれから大根の収穫に行って参ります	気をつけてくださいね		
本日はグラタンとハンバーグでございます	どちらも大好物ですね		
ちょっと今週末にでもキノコの店に行ってみます	きのこ美味しいですもんね		
カフェインレスの紅茶に生姜と蜂蜜入れて飲んで寝る	体に良さそうですね		
昨日のサプライズからプレゼントも今日のディナーもほんまにありがとう		x	意味
今日いた緑茶です		x	破綻
今日はレモンが食べたかったのにガーリックになってしまった	また次の機会にしましょうか		
ナポリの男たちのラジオ神回すぎる		x	食べ物じゃない
揚げ物とかしちゃうのはすごいです♥食べたい	揚げ物もいいですね		
自分もパイナップル食うと舌が痺れることがある	あるあるですね		
今日はものすごい大漁だ		x	何が
めんどくさかったから柿むいてきた	柿好きなんですか		
めったに来る事のない渋谷でお茶してます	今度一緒に行きましょう		
桜えびだけでなく		x	何が
スーパーカップのマロンは本気で美味しい	それは美味しいですよね		
グレープフルーツ食べ過ぎて今になってめっちゃ歯痛い	食べ過ぎには注意ですね		
カフェラテをチラッて見たら完璧アウトだった		x	何が
食パンの耳だ	どうするんですか		
今日もらった冷凍カシスをほろよい白いサワーに入れてみた	どんな味なのか気になりますね		
鼻でスパゲッティ食べる	それは大変そうですね		
お菓子のコーラの味とか外国のグレープの味とか結構好き	私も好きです		
怒涛の勢いで麺をすすり		x	意味
黒豆の入ったおもちを軽くさっと炙ってたべたい	アクセントになって良さそうですね		
雪見大福のスイートポテトって食った		x	意味
白味噌と赤味噌じゃない		x	何が
玄米は体に良いという話だろう	体に良いみたいですね		
疲れた体にマリネが染みる		x	何の
おばあちゃんに習った白菜の漬け物をつくってみよう	チャレンジですね		
キムチは匂いが苦手だ	好き嫌いが分かれますね		
春巻きが好きなフォロワーさんが増えます		x	
ハニーと24魂探しなう		x	食べ物じゃない
チャイだけど更にシナモンパウダー入れまくったら汚い		x	意味
ケーキにちっちゃい師匠乗ってる		x	意味
ターキー諦めました		x	食べ物じゃない
あぁ蟹食べたい	蟹味噌もいいですね		
朝食バイキングに明太子あるのめっちゃいいさすが	ご飯がすすみますかね		
ひじりに貰ったラスクも美味しい		x	人名？
ソーセージの画像上げるとかなんて健全		x	画像
パイナップルって強そうじゃない	何となく強そうですね		
麺類をすする音はともかく		x	何が
鯨から曲落ちた		x	意味
そのスパゲッティは早茹でタイプだ	アルデンテがいいですね		
今朝ののクロワッサンは一つ二つ発見あり	何を発見したんですか		
やわらかプリンはなんとなく単に素材を薄めてるだけですやん	そういうものなんですかね		
劔谷さんと紅梅の縦長漫画描きたい		x	人名
アボカドと豆腐でグラタン作りたい	それは美味しそうですね		
カウンターで揚げたてが食べれます		x	何の
会社にSBのペッパーがデモでやって来た		x	食べ物じゃない
ドクダミも植えればお茶の時間が豊かになる	体に良いみたいですね		
半額ではない惣菜は惣菜にあらず	お惣菜は便利ですよね		
納豆はシーチキンと砂糖ちょっと		x	何が
先輩に太刀魚貰った	それをどうするんですか		
昨日から牛肉食べたい欲がおさまらない	焼肉でも行きますか		
喉乾いたから自販機で炭酸買ってきて飲んだら寒い	体に気をつけてくださいね		
お茶作って出してくるのはもしかして		x	意味
納豆の実がなっとう	あまり面白くないですね		
昨日中目黒で食べた茄子のおひたし食べたい	病み付きな味でしたか		
もう一番右のレバーが美味しくてたまらなかった		x	意味
かぶと油揚げとさつま揚げの炒め煮です	それは美味しそうですね		
こんな時間から生ビール飲みたくなって来た	飲み過ぎには注意ですね		
麦茶を苦く感じるってヤバない	人によるんじゃないですか		
ダシと鰹節であっさりほっこり	体に染み渡りますね		
梅干が１個暗闇の中へ消えていった	どこに行ったんでしょうか		
マヨネーズに合わない食材見つけてしまった	マヨネーズは万能じゃないんですかね		
鱈が全部煮崩れた	工夫が必要そうですね		
白玉におねだりして撮らせてもらう		x	意味
キノコだと名乗った以上は編み籠に入れ		x	意味
8話目の長芋のソテーの回が良い		x	意味
バジルの茎を乾燥させてカレーやシチューの香りに使う	香りが良さそうですね		
柚子は口内に広がる美味しい爽やかな余韻が好き	爽やかさが大事ですね		
雑煮はまだ早え	時期がまだでしたか		
うずらの卵煮	それは美味しいんですか		
食パン食べました	ジャムは載せましたか		
みれちゃんが好きなタルトくれた		x	人名
なんか部屋に猛烈にガーリックの匂いがし始めた	ガーリックを使った料理でもしましたか		
牛肉とキャベツと長葱のオイスターソース炒め	それは美味しそうですね		
ウマヅラハギの肝和え	どんな味なのか気になりますね		
ラーメンも美味しかったけど唐揚げとギョーザも美味でした	どれも美味しいものばかりですね		
しゃぶしゃぶにレタスを入れるとおいしい	それは美味しそうですね		
最近はきのこも社長も仕事してないからBBBはうん		x	意味
デイリーヤマザキのサラダに付いて来た生姜のドレッシング美味い	他のドレッシングはどうなんでしょうか		
引っ越したら一番最初に買うものはオーブンだって決めてる		x	食べ物じゃない
天界族のプリンじゃない		x	食べ物じゃない
御褒美にモンブランとモカ買ってきた	それはいいですね		
魚用意されてるしおかずだけでも食べなきゃ	どんな魚ですか		
栗に進化した		x	意味
めっちゃハニーの香りすごい		x	何が
烏龍茶で乾杯なんて初めてだった	そうだったんですか		
採れたて新鮮な鯛です	それは美味しそうですね		
もやしも殺した		x	意味
牛肉の個体識別番号が記録されてるんだ		x	意味
賞味期限1週間前のシュウマイ食べます	それは大丈夫なんですか		
ほうじ茶と栗きんとん	相性が良さそうですね		
今からショートケーキとヨーグルト食べる	美味しそうですね		
こんな時間にお茶についてくるような女の子はいらないです		x	意味
パンチのソムリエと化して相手のレベルが解った		x	食べ物じゃない
このアイスクリーム知ってる人RTお願いします		x	
鯨の肉って馬刺しっぽい	どんな味なのか気になりますね		
春雨のスープに具をたっぷり入れた熊本の名物です	そういうものがあるんですか		
やはりツナとご飯は最高じゃ	相性が良さそうでいいですね		
オニオンが最近アダAなったそうです		x	意味
やはりビーフカレー旨いわぁ	私もビーフカレー好きですね		
人参も嫌いなんだ	好き嫌いはよくないですね		
食物繊維はキャベツを食え	体にも良さそうですよね		
ミルフィーユ鍋にワンタンの皮入れるメニューやってみたら最高だた	そういうメニューもあるんですね		
何となくコンソメにした	コンソメは万能ですよね		
御飯食べてなかった	しっかり食べてくださいね		
分かんなくて検索したらシャンパンしか出てこない		x	何が
今日るおからもらったプリン美味しすぎた		x	人名？
昨日の夜から豆乳飲んでるんだけど湯のみで飲んでて	湯のみで飲むと変わるんですか		
羊羹たべたーい	羊羹美味しいですよね		
白米にお味噌で2杯食べちゃいました	シンプルだけど美味しいですよね		
りんごも帰り持たせてもらった	それはラッキーでしたね		
クリームチーズと日本酒の組み合わせはいい	飲み過ぎには注意してくださいね		
昨日食べきれなかったカワハギを引き続き朝食のおかずにした	大量でしたからね		
ペパーミントが入っているのなら刺激強いです	刺激が強いものは苦手ですね		
おーももたん甘口でもちょっとダメ		x	人名？
せめて味噌汁だけでものんでからぶっ倒れよ		x	意味
黒糖は飴しか舐めた事がない	黒糖は体に良いんですかね		
みかんって食べてたら手が黄色くならない		x	意味
他の野菜も育てるんだ	どんな野菜を育ててるんですか		
煎餅の入ったサブバッグが潰され		x	破綻
色々あって成型前のパン生地を手に入れる		x	意味
もも肉の生ハムはなんとも言えんくらい美味しい	それは食べてみたいですね		
すごい生のネギたべたから口がすごい	大丈夫でしたか		
食パンに飽きてしまったらフレンチトーストにしちゃいましょう	味が変わって良さそうですね		
ひき肉でなんか作りたい	何を作りましょうかね		
炙りカルビが聴けない		x	意味
チョコレート屋さんが開店したけどバカ高いのでお茶しました	値段は気にしちゃいますよね		
お茶のボディーソープ使ったから身体がめっちゃいい匂いする		x	食べ物じゃない
サラダバー目当てで家畜たちと網焼きなう		x	意味
なめこのファイル気になる		x	意味
収録を終えて和定食とトマトのナムルを食す	それは楽しみですね		
せっかくのビュッフェなのにシャコしか食べてないじゃん	色々食べないともったいないですね		
最近は小豆を使った和菓子が好きになった	どれも美味しいと思います		
ただの食パンなのに魅力を感じる	食パンはアレンジ次第で色々食べ方がありますね		
久しぶりにいわしちゅんと撮り合いしたかった		x	食べ物じゃない
2日ぶりにご飯炊いてみる	ご飯はしっかり食べないとダメですよ		
白菜の芯がなかなか煮えない	芯には火が入りにくいですよね		
甘い卵焼きは好きじゃない	人それぞれ好みがありますね		
なか卯の湯葉と野菜のあんかけうどんを食べてきた	どんな味なのか気になりますね		
焼酎で我慢してる	飲み過ぎには注意してくださいね		
焼豚の作り方調べてて	出来上がるのが楽しみですね		
刺身と炙りと味噌汁作ったバリうまい		x	何の・意味
あずきって穀物じゃない	そうだったんですか驚きですね		
飲み屋行ったらフライドポテト頼むやん	それは定番かもしれませんね		
お酒はカルーアミルクやチューハイしか飲めん	自分に合うものが良いですね		
牡蠣はそろそろなんかやりたいとおもってたけどやばい		x	意味
目の前に白玉があったのだ		x	意味
今夜は焼き魚かあ	焼き魚美味しいと思いますよ		
茄子の額を知り		x	
シーチキンのカレー炒めの匂いだった	どんな料理だったんですかね		
峯石が電車でタマゴむいてる		x	人名
かなりスパイシーだけどお腹大丈夫そうだ		x	何が
アボカドがほどよい熟し具合である期間は短い		x	意味
柿の種のわさび味なめてた	結構辛いですよね		
秋刀魚の煮付けうま過ぎ	旬なものは美味しいですよね		
このペンネでアラビアータを作る		x	この
今日はカルビマックとポテトとコーラを買いに行きます	ジャンクフードは美味しいですけど健康が心配です		
豆乳買って帰るるる	豆乳は体に良さそうですね		
あああ明太子おいしい	明太子は私も好きです		
今日はお寿司とまぐろの甘辛煮	どちらも美味しそうですね		
辛味の正体は味ではなく痛みだからだそうです	それは勉強になりますね		
電話すんの面倒だしポテト食べよう	食べ過ぎには注意ですね		
キャベツの神様見てこよ		x	意味
アニメを流し見しながら甘いチューハイを飲む	飲み過ぎには注意ですよ		
馬肉も豚骨ラーメンも美味しそうだ	食欲がそそられますね		
赤身のお刺身が食べたいです	それはとても美味しそうですね		
何故か無性にコーラ飲みたい	たまにそういうこともありますよね		
チキンラーメンとフライドチキンの組み合わせ素晴らしい	相性がとても良さそうですね		
メンマとナルトとホウレン草が浮いた		x	何に
今日は父が魚の煮付けや天ぷらを持ってきてくれ		x	途中
ハヤシはうすに遊びに行ってきました		x	意味
和風パスタと鱈のムニエルにしよう	出来上がりが楽しみですね		
うちのコンビニは気軽に勤務中にコーラが飲めます	それは大丈夫なんですか		
朝からネギでお腹痛くなるほど笑った	ネギに何があったんですか		
毎朝自分でドリップして珈琲を飲んでいます	それは良い習慣かもしれませんね		
パンにバターだと思ったら練乳ぬってしまった	どんな味になるのか気になりますね		
麹の手入れに行って来ます	それは大事なことですね		
イーストでスコーンを投稿しました		x	意味
パンケーキが食べたいパンケーキが食べたいパンケーキが食べたい	そんなに食べたいんですか		
カップラーメンなんかよりサラダ食え	サラダは食べたほうがいいですよね		
彼氏のエリンギじゃないけど大丈夫		x	意味
北海道の赤飯は甘納豆が入ってて甘いから苦手です	甘いのが好きな人はいいかもしれませんね		
二日酔いにはシジミの味噌汁がいい	体を大事にしてくださいね		
鮎の和菓子美味しかった	どんな味がしたんですか		
今猛烈に牡蠣が食べたい	牡蠣は好き嫌いが分かれそうですね		
美味しいはちみつをハントしに行こう	気をつけてくださいね		
大根おろしの暴力で食べる		x	何を
下呂市の過疎地域で珍しい野菜を作り		x	意味
冷酒もまた良い	飲み過ぎには注意ですよ		
あの酒は熟成できてない		x	あの
ホッケ食べたいから居酒屋行こう	ホッケ美味しいですよね		
カニのおいしさわかる人間に生まれたかった	苦手なんですか		
干物を狙う怪盗ニャンコに癒されたら		x	意味
今日の朝はオレンジとヨーグルトをミキサーにかける	オレンジとヨーグルトは相性良さそうですね		
このライスは正解だった		x	この
カレイの煮付けです	早く食べたいですね		
今日の芋煮も時間を取れそうなので是非来ていただけたら		x	意味
スタバ好きだけどフラペとかチャイとかになる		x	意味
ショコラの10倍かわいい		x	食べ物じゃない
家で紅茶のシフォンとシチュー食べたい!!!って言ったら		x	途中
大根おろし味のタレだ	何にかけるのがいいんでしょうかね		
雑炊むせながら生還したけどクトゥルフだ		x	意味
みみさん宅のキャベツなら食べれそうです		x	人名
月曜から麺類しか食って無い	食が偏ってますね		
どうしてもアイスの実のカフェオレが欲しくて買っちゃった	あれは美味しいですよね		
セブンで焼きイカ買った	たまに食べたくなるんですよね		
食後の珈琲なんてどう	落ち着いていいかもしれませんね		
帰ったらほうじ茶飲む	ほっと一息ですね		
醤油を発明した人は神がかってる	醤油は万能ですね		
次にうかがうときは焼酎もってこ	飲み過ぎには注意ですよ		
コラーゲンがつくられる量は年を重ねるとともに次第に低下していき	そういうものなんですね		
ことしのクリスマスはかわいい女の子とのディナーがいいです		x	
家にグリルも無ければ味噌も無いから煮付けるしかない	道具や材料が足りませんね		
自分はのど飴を3粒お湯で溶かし		x	途中
ただのポーク描きに戻ります		x	意味
今日の晩御飯はプルコギ作る	出来上がりが楽しみです		
野菜がたっぷりのっておりまろやかなスープが食欲をすすります		x	何が
なんか昆布まとってるように見えない		x	意味
どうしてもジャムを飲んでいるように感じるくらい甘い	激甘料理なんですか		
カプチーノ頼んだのにホットミルク出てきた	誰にでも間違いはあるものですね		
学校行きたくないって行ったらハニーが青葉くれた		x	意味
イカせません		x	食べ物じゃない
缶コーヒーブラックえぐいから飴と一緒に摂取するの好き	苦さを和らげてくれますね		
一瞬にして吐くロールケーキとティッシュの値段が同じ		x	意味
アルコールの酔いが完全に醒めてしまった	体を大事にしてくださいね		
アロエのグミがおいしすぎて止まらない	そんなに美味しいんですか		
体力の果実がたくさん欲しいです		x	意味
ドラゴンがシーチキンを抱えて夜な夜な散歩に出かけている		x	意味
紅白は一度も見た事ない		x	食べ物じゃない
食塩は日本産です	日本産は安心ですね		
週末に買ったベーコンそのままだった	早く食べないといけませんかね		
牡蠣のチヂミもトッポッキも写真とる前に食べちゃった	美味しかったですか		
CoCo壱に入ってビーフカレーのことビーフシチューとか言っちゃった	誰にでも間違いはあるものですね		
馬刺し食べて頑張ってください	馬刺しは美味しいんですか		
こんな時間に551の豚まん食す	食べ過ぎには注意ですね		
昨日ほろよいの夏みかん飲んだらお腹壊した	体を大事にしてくださいね		
朝からピスタチオ見てしまった		x	食べ物じゃない
酒のちゃんぽんでは数回やってます		x	何を
締めに雑炊したいのでたまごもって行きます	卵とじはいいですよね		
おばあちゃんが赤飯くれた	それはよかったですね		
炒めたシャキシャキもやしってだけで		x	途中
早出の日にココア買って飲みながら行くのが幸せ	体が温まりますね		
ソフトクリーム食べ放題カラオケ近くに出来てる	食べ過ぎには注意してくださいね		
にんじん余ったらまたにんじんケーキ作ろ	それはどんな味がするんですか		
煮付けに姿煮		x	何を
一般的な肉じゃがも食べたい	家庭の味ですね		
キムチでなく煎餅をアテにしている		x	何の
頼まれたキャベツだ		x	何に
青いパパイヤのサラダ食べたい	青いパパイヤなんてあるんですか		
今日はご飯にみそ汁にきゅうりのきゅうちゃんを食べます	ゆっくり食べてくださいね		
250円でチヂミを販売しています	それは安いんですか		
ホットケーキひっくり返すのムズい	ちぎれてしまうこともありますよね		
和歌山から美味すぎるみかん届いた	みかんは風邪予防になるらしいですね		
大切にしていたなめこが枯れていた	それは残念でしたね		
急にコンビニおでんのソーセージが食べたくなった	たまに食べたくなる時がありますよね		
マグロの赤身にマヨネーズと醤油でお		x	途中？
海藻を食べると髪の毛が黒くなる	そういうこともあるんですか		
冷奴と豆腐のスープが付いてきた	お得なセットでしたか		
今日は激辛な食べ物が家に無い	激辛料理が好きなんですか		
バニラの風呂に入りたい		x	食べ物じゃない
ペパーミントとラベンダーを混ぜたアロマ入れた		x	食べ物？
スペアリブひっくり返しておこう		x	なんで
ラテが買い込んであった	買い込んでどうするつもりなんですかね		
今度はピスタチオの買ってみます		x	何の
くるみ呼びします		x	食べ物じゃない
深夜のカリフラワーが効いてる		x	意味
魔法のベーカリーやんないじゃん		x	意味
新米が恐ろしいほど強いことを知った		x	食べ物じゃない
シーバスとヒラメしかしか釣れねぇ	釣れないよりはいいんじゃないですかね		
バイトから帰ったらワッフルあった	バイト終わりはお腹が空きますね		
ヨーグルトめっちゃ重くて美味しい		x	意味
前の人におかき食べさせたい		x	意味
さくらんぼも有名なんだ		x	なんの
ガレットも食べたけど写真忘れちゃった	美味しかったですか		
子供達の前でお酒じゃなくウーロン茶頼む師匠ほんまさぁ		x	意味
クレープもケーキも食べながら痩せたい	食べ過ぎには注意ですよ		
新しいデザートを考えました	どんなデザートですか		
