発話文	応答文	xの場合x	(理由？なくても)
綾鷹にも合う塩むすび	お茶とおにぎりって定番だよね		
フルーツ切る練習した	切るだけじゃないの？		
ちゃんぽんの具だけ食べたい	麺と具のバランスがいいじゃん		
原料が鱈とえびのお菓子が好き	魚介のうまみが凄そう		
小麦を使わないクリスマスケーキがあるんだ	アレルギーのためかな？		
餅を餅らしく撮ってみました	写真見せて		
小麦はないです	小麦ないと始まらないよ？		
どうしてもアボカドが好きになれない	クセがすこしあるよね		
まさかのもこずキッチンも牛肉と牛蒡レシピじゃん	牛肉とごぼうの炒め物おいしい		
白菜の煮物に肉団子入れるの忘れてた	それはそれでヘルシーでいいじゃん		
鰹節の匂いがすんごかった	魚介のうまみが凄そう		
パウンドケーキのお値段を150円に変更だそうです	安くなったの？高くなったの？		
にんにく食べて応援がんばる	息臭いからやめて		
なんで自販機でカフェオレ押してるのにブラックで出てくる	カフェイン足りてないんじゃない？		
卵焼きで喉詰まって死にそうだった	すっぽりはまりそう		
お話が通じた生肉食べます	お腹壊すからやめた方がいいよ		
長芋が食べたい	そばにかけて食べるの最高		
アサリとか本当に胃袋に悪い	お腹壊したの？		
牡蠣食べ放題できるところがあるらしい	今度つれていってよ		
おからとこんにゃくで頑張ります	ヘルシーでおいしそうダイエットしてるの？		
お菓子のマドレーヌあるやん	それ、お客様用だよ		
干し柿できたからそろそろ柿なます作って食べさせなきゃ	私にも食べさせて		
左のナタデココのグレープも飲んでみたいすね		ｘ	
札幌公演が終わって差し入れにシュークリームもらった	食べすぎ注意してね		
ポチという名のキムチを連れて旅をしている		ｘ	
お寿司ではエビが大好物だ	プリプリしてておいしいよね		
岩手のりんごとオキハムのコンビーフハッシュを買ってこよう	売り切れてたよ？		
課金したものはしょうがない		ｘ	
燻製の下ごしらえとグリューワインを作る事にした	できたら持ってきて		
絶対集めた落ち葉で焼き芋焼きたい気分になることでしょう	落ち葉で焼いた焼き芋おいしそう		
睡眠と肉と野菜と米と乳製品摂った	健康的でいいね		
ホットケーキ作ってたのにいつの間にかラーメンできてもた	何があったの？		
マクドのイモで火傷した	出来立てだったんだね		
月曜日がミートしにやってきました		ｘ	
この世で一番嫌いなものは冷奴です	好き嫌いだめだよ		
クリームチーズも使ってて美味かった	クリームチーズってあんまり使わないよね		
出来立ての豚汁をお届けします	早く食べたい		
週5でスイートポテト食べてる	スイートポテト大好きなんだね		
春さんがカレーは甘口ということがわかった	カレーは辛い方がおいしい気がする		
肉ばかりではなく魚を食べろ	魚の調理ってめんどくさいじゃん		
レンジ蒸しのナスをマスタードと白だしで和えました	マスタードと白だしって合うの？		
新潟と山口と富山のお酒美味しかった	飲みすぎ注意してね		
ピクルスの味はカナブンを噛んだ味に似てるらしい	カナブンたべてみてよ？		
灰色のはんぺんを食べてみた	珍しいはんぺんだね		
厚揚げとししとうの炒め	とってもからそう		
勉強の後の休憩のせんべいは最高にうまい	頭使った後は甘いものがいいよ		
美味いピーナツを囓りたい	いくらでもたべれそうだよね		
強炭酸使いきり		ｘ	
締めの釜飯うまかった	トリ釜食べたくなってきた		
骨なしのフライドチキンとか食べたかった	コンビニで買ってきてよ		
いいみりんの日だから可愛いみりんちゃん写真いっぱい見れて幸せ		ｘ	
菓子を買って来い	おかねをください		
わらびもちとゼリー美味しくいただきました	デザート豪華だね		
白菜とか入ってるじゃん		ｘ	
ごぼうと糸こんにゃくのしぐれ煮	牛肉も入れた？		
スイートポテト作るだけの人間になりたい	スイートポテト食べるだけの人間になりたい		
みそ汁に白米ぶっ混みます	日本の味だよね		
ひじきが乗ってる	ひじきって海藻からできてたの知ってる？		
燃えよ唐辛子といい		ｘ	
小袋にもピーナツを入れるべき	ピーナツおいしいよね		
夫がおみやげに甘栗を買ってきて喜んでいたら		ｘ	
食べるとドクダミのような		ｘ	
赤ワインはアルコール以外に体にダメージを与える要素あるだろ	赤ワインって体にいいよね		
指から昨日食ったスコーンの匂いがとれない	体からもにおうよ		
イチゴに浮気なう	ブドウが悲しんでるよ		
辛口になるから言うのやめとく		ｘ	
酎ハイという名の焼酎やった	濃ゆかったのかな？		
アーモンド食べに行かなきゃ	どっかでかけるの？		
何度もはちみつばちさんに撃たれたけどめげない		ｘ	
塩味の卵焼きが食べたい	卵焼きって好み分かれるよね		
一番人気のシュークリームは今日はやめておこう	明日食べるの？		
お堀にしいたけを植えちゃいましょう	シイタケって植えるものなの？		
ザーサイは火を入れるとしょっぱくなる	水分が抜けちゃうのかな		
調べてみたらほぼほぼブランデーのカクテルだそうで		ｘ	
青糖辛子間違えてバーベキューで食べて死んだ	辛かったよね		
マットレスのごとく分厚い油揚げが入っていてお腹いっぱいすぎる		ｘ	
イベリコ豚の洋梨添えおいしかったです	凄い組み合わせだね		
牛蔵の和牛メンチカツとコロッケでお昼にしよう	ちょっと贅沢でいいね		
炭酸なくなった	甘いだけの飲み物になるよね		
エスプレッソの香り漂わせる男になりてえ	眠れなくなりそう		
やっぱちょっと銀杏みある		ｘ	
本当にテキーラ不味かった	飲みすぎ注意してね		
メインは玉ねぎな	玉ねぎの何作るの？		
昆布だしと白味噌に鮭と野菜を入れて煮込んだ	サバの味噌煮みたいだね		
津波気になってしょうがない		ｘ	
香辛料で真っ赤なカレーだろうが喜んで食べる猛者だ	カレーは辛い方がおいしい気がする		
鍋にサバのつみれ入れてみたら美味かった	魚介のうまみが出ておいしそう		
長崎のカステラめっちゃうまいやん	長崎名産だもんね		
シーフード皆無でスパイシーもほぼ感じられない		ｘ	
マカロンの皮がとまらない	マカロンに皮ってあるっけ？		
絶対にターキーに会いにいく		ｘ	
個人的にはトマト煮も好き	トマト煮食べたことない、おいしそう		
イチゴの香りに包まれそうな		ｘ	
寒くなってきたのでお茶や珈琲飲む回数が増えてます	温まるよね		
胡桃に七味に生姜などを加え		ｘ	
父が作るおでんは茹でたホタテが入っている	ホタテのおでんっておいしそう		
ロコモコは友達が食べてた	友達うらやましい		
とらやの羊羹たべよう	ちょっとだけちょうだい		
鰹だしうまうま	昆布だしもおいしいよ		
甘いのでもはちみつはいいらしい	体にいいってよく言うよね		
この週末で友達達にいただいたお土産のブラウニーを食べ		ｘ	
きのこって野菜とかじゃなくて菌ってことも知ってる	きのこって菌なの、、、？		
ちまきに網戸破られた		ｘ	
アボカド切ってのりとご飯にのせるどーん	アボカドってクセあってあんまり好きじゃない		
口にヨーグルト付けてる	本当？はずかしい		
苺のミルフィーユを食べます	ちょっとだけちょうだい		
チキンライスに味付け忘れた	ケチャップ入れ忘れたの、、、？		
結局弁当の蓋があかないのでおかず食べません	がんばって蓋あけようよ		
秋刀魚の出ない３−３が物足りない		ｘ	
ごぼうの入った豚キムチ炒め定食を作ります	二人分作って！		
ヴルストとウィンナーとソーセージの違いが分からない	どれもおいしいよね！		
苦めのカラメルを食べる前に自分でかけて~~うまうま		ｘ	
鯵があったのでなめろうにして頂く	ショウガがアクセントになっておいしいよね		
ごま油大先生が瀕死だ		ｘ	
ショコラの写真が大量にある	たべたくなっちゃうよね		
この時間に柿を食べてた	早く寝た方がいいよ		
今日の昼ごはんはチキンライスです	オムライスにしたらもっとおいしいよ		
白い生地がもっちもちでカスタードが抜群にあう		ｘ	
ピスタチオに興味あるワタシは気になる		ｘ	
この時間に食べるロールケーキは背徳感とあいまってより美味しい	デブまっしぐらだね		
ジェラートもタピオカも気になる	どっちもおいしそうだね		
イワシだけで600は狩ってる		ｘ	
砂糖を控えてみよう	微糖でからだによさそう		
柿の葉寿司とシュウマイ旨かった	柿の葉寿司っておいしいの？		
我が家の風呂に柚子が浮いてた	温まるよね		
パンケーキを焼こう	フワフワのやつ食べたい		
ようやくドーナツを手に入れたでござる	チョコレートかかったやつが好き！		
職場で朝釣りたての太刀魚いただいた	貴重な経験でいいね		
お土産通りで干物買い食い	家でたべるよりおいしいよね		
この鼻から抜けて行くほのかな蜂蜜の香りが堪らん		ｘ	
塩漬けになっていた画像です		ｘ	
牡蠣と白菜のオイスターソース炒め	食中毒にならないようにね		
アイスは噛めないから舐めて食べるしかない	噛んだ方がおいしいじゃん		
エリンギと小松菜と長ネギをどーたらこーたらしたもので		ｘ	
丸亀の大盛り釜玉にかき揚げ食ったから気持ち悪くなっちゃった	食べすぎ注意してね		
ついついコーヒーに生クリームを入れてしまう	糖尿病になるよ		
鍋に大量の肉じゃがを作った	おすそわけしたら？		
みかんは低カロリーだ	みかんの皮に栄養があるらしいよ		
何となく卵焼きの中は梅昆布突っ込んだ	意外においしそうだね		
最近の好きなのにものは烏龍茶です	黒ウーロン茶がおすすめだよ		
葉っぱ系の野菜は苦手	好き嫌いだめだよ		
さっぱりした感じと七味の辛さがとても美味しい		ｘ	
ラードで盛り合う		ｘ	
目玉焼きにケチャップ多くない	ケチャップかけるの？		
赤血球みたいな白玉食いてえ	のどに詰まらせないように注意してね		
秋刀魚は犠牲になったのだ		ｘ	
鶏肉とチーズの挟み揚げ	お酒飲みたくなるね		
福井行ってカニ食べよ	北海道のカニがいいです		
メインのロブスターとステーキは自分で行って確かめてくれ		ｘ	
お母さんの作ってくれたお鍋食べて寝てよう	風邪ひいたの？		
にんにく使ってなにか作りたい	ガーリックライス食べたい		
お煎餅があたまでぐるぐる回る	お煎餅買っておいで		
上にウニ乗っかってる	高級でいいですね		
好きな食べ物はバナナで嫌いな食べ物はトマトだ	好き嫌いだめだよ		
我が家の蟹を食べましょうっ	鍋で食べたい		
今は利き烏龍茶とオススメの烏龍茶が紹介できます	私のおすすめは黒ウーロン茶です		
お菓子とアイス食べたいけどお腹いたくなるのは嫌だ	どちらかにしよう		
ラー油もらったし久々に寒いのを感じない		ｘ	
特に気にせずりんご打ったら1個ずつ増えてました		ｘ	
夏限定であった冷やしパインがめっちゃ美味しかった	冷やしパイン冷たくておいしいよね		
黄色い系の炭酸飲みたい	わたしも飲みたい！		
一人で黙々とまんじゅう食べてたんだけど凄く	のどに詰まらせないように注意してね		
唐揚げにレモンかけるのと違って味変わらないじゃん		ｘ	
春菊の胡麻和え嬉しい	さっぱりしておいしいよね		
お鍋にバターとにんにくちょっと	何作ってるの？		
女の子の内臓をごった煮にして食べたい		ｘ	
ヒラメの横にしまっちゃうおじさん座らせてしまってもらお		ｘ	
その人達のギャラが牛肉だった	牛肉が給料なんですか？		
黒大豆の湯葉らしい	黒い湯葉なの、、、？		
久しぶりにかつおのたたき作った	自分で作るなんてすごいね		
甘口しか食べれない	辛口も食べてみたらおいしいかもよ？		
モモンガで柿をくるむということで		ｘ	
ひじきでも昆布でもなく	海藻類ですか？		
ブラックコーヒー買ったつもりがクッソ濃いエスプレッソ買ってしまった	違いが分かりません		
いやしかしうな重が大事	うな重食べ行くの？		
友達とご飯食べ		ｘ	
くるみはベットinしてる		ｘ	
果汁入ってるんでオススメです		x	
こんな時間にＭＢＳでたまむすび		x	
赤味噌と白味噌買おう	両方買うの！？		
漫画にするなら鰹節を削っているシーンとかを入れたい		x	
肉汁が愛らしいじゃろ		x	
ままの卵焼き食べたい	家庭のあじだね		
侍ジャパンのおかげでさくらんぼ聴いてる		ｘ	
まんじゅうと日の丸って結構似合うと思うんです	ごはんと甘いものってあわないじゃん		
ごはんが炊けるまでレアチーズケーキを作るになります	そんな簡単に作れるの？		
高知のタタキが美味しい		ｘ	
言葉的には香辛料のほうがしっくりくる		ｘ	
十夜さんがアロエになった		ｘ	
温かいほうじ茶を飲んだら急に眠くなってきた	落ち着くよね		
ひじきに毛あるかわからん	ひじきって海藻だよね？		
つつじの甘い蜜を吸った	子供のころよくやった		
体が珈琲を受け付けなくなってきた	カフェインきついもんね		
豆が半杯分しかない	買っておいで		
モコモコで緑茶飲んで温まります	あったかいお茶おいしいよね		
家にかぼちゃあるからかぼちゃ煮よ	かぼちゃのスープもいいよね		
エリンギ揚げてたら手の上にエリンギが落ちて負傷した	やけどしたの？お大事に		
明太子とか好きなようにどうぞ	明太子大好き		
オクラの葉の形はよく似ているらしい		ｘ	
ドライフルーツとナッツの組み合わせに弱いんだ	水分吸い取られそう		
本日のランチは鶏肉の甘酢炒めです	ごはんが進むね		
精子と卵子が合体する		ｘ	
ホタテだと思いエリンギを食べ	見た目は似てるよね		
グラタン食べたいって言ってたのにシチューだった	見た目は似てるよね		
サンマと大根おろし美味い	お酒飲みたくなるね		
すごい甘いタイプのクロワッサンだった	甘ったるいと胃もたれしそう		
おかかの老後って干物が更に干物になったってことやろ		ｘ	
パンナコッタ食べ放題の場所にしました	パンナコッタって杏仁豆腐みたいなやつ？		
自室に籠り砂糖をジョリる	砂糖だけでたべるの？		
メバルの煮付けが出きました	大変だった？		
砂糖を酒で伸ばして漬け込み	何作るの？		
兄貴が鯛をおゆのなべにいれたんだ	いい出汁とれそう		
いつか恋の果実をもう一度生でやって欲しかった		ｘ	
今日も珈琲が旨い	コーヒあんま飲めない		
牛肉を食べたら人生が終わりだと思いなさい	ベジタリアンなの？		
なんでわざわざかき揚げにするんだろう	あのサクサク感がいいんじゃない？		
乳製品は体脂肪減少も進める	そうなんだ初めて知った		
予約していたライチのバッグ届いた		ｘ	
からすみがれいみりん焼うまい	からすみ食べたことない		
アーモンドなどのナッツ類は抜け毛を防ぎ	抜け毛に困ってないからいいや		
オニオンは調整多し		ｘ	
ドアが開いた途端に煎餅の香りがした	香ばしくていい香りだね		
はかた鶏のおかゆめっちゃ食べたい	消化によさそう		
無闇に高いポップなコーン買いたい	映画館で買えるよ		
スパイスでテレビ出演してた頃が好みです		ｘ	
後でおいしいスープいれてあげる	何スープ入れてくれるの？		
雨の日曜日は早い時間にひき肉が半額になるらしい	雨の日はハンバーグだね		
ぽん酢に更にレモンかける	めっちゃ酸っぱいじゃん		
息子が太刀魚を９匹も釣ってきて大変	新鮮な太刀魚の刺身うまい		
ロールケーキがランチパックに変わってやがる	つぶれちゃったんだね		
生春巻き作りました	生ハム入ったやつがすき		
辛い辛いと言いながらも食べるラー油がくせになってきた	ごはんにもあうよね		
１５分だけイカやりますすみません		ｘ	
ひつじのモツはちゃんとひつじのあるべきところに納めてください		ｘ	
ホタルイカの沖漬けうますぎて酒止まんない	沖漬けって何？		
廃棄を渡して鉄火巻き		ｘ	
友達とホットケーキ食べました	おいしそう、今度呼んで		
お酒をチャンポンで飲んでしまった	意外に合いそうだね		
しいたけと新芽になって1年3ヶ月とちょっとたった		ｘ	
淡白な白身でバカウマです	何の魚食べてるの？		
マッシュルームもあるし迷ってる	マッシュルームあんま用途ないよね		
唐辛子を植えてはなりませぬ		ｘ	
昆布めっちゃ発注しときます		ｘ	
ロールキャベツ食べてみたかったのになかった	今から作ってみたら？		
甘露煮にしてみました	魚の甘露煮作ったの？		
美味しい秋刀魚が食べたひ	大根おろしと一緒に食べたい		
思ってた以上にさつまいもだった	安納芋が好き		
スパゲッティを茹でる量がいまいちつかめん	束になってるやつ買えばいいじゃん		
今日は肉じゃがとキャベツの煮浸しにしよう	日本食でおいしそう		
半ばヤケで作ったモツ煮が思いの外美味い	モツの下処理めんどくさい		
干し柿食べてえ	渋いのなくていいよね		
バカンスで焼き魚ひろった	どういう状況なの？		
ご近所さんからカリフラワーとブロッコリーいただいた	カリフラワーとブロッコリーの違いが分からん		
フグの唐揚げ	高級料理じゃん		
この時期のみかんって美味しいです	甘くておいしいよね		
先生から頂いたバームクーヘン食べます	食べすぎ注意してね		
クロワッサンの店まで行こう	有名なお店なの？		
オムライスのケチャップ必ずエイトマークにする	ケチャップ多い方が好き		
急ながら茶漬け食べたい	すぐ食べられていいよね		
ラストはピスタチオで締めた	のど乾きそう		
普通のフルーツだ	普通においしそう		
流石に岩塩かじったりはしない	歯が欠けそうだね		
米国の漫画の犬がドーナツになったけど病気に見える		ｘ	
しめじの和風パスタを作ります	明太クリームの方が好き		
しいたけにドン引きするすばちゃんかわゆい		ｘ	
胡麻のわんこちゃん可愛い		ｘ	
芋煮が凄い美味かった	味がしみ込んでたの？		
元ネタしらんけど鰈のスコーンで腹筋が死んだ		ｘ	
米も炊いてあるしウィンナーもタコにする	お弁当作るのかな？		
鍋のネギとモツも食べたい	もつ鍋おいしいよね		
グレープフルーツに多く含まれています		ｘ	
赤ワインで過ごすことにした		ｘ	
体が蟹くさい	うらやましいな		
某英国老舗の紅茶をすげーと思ってみたいたら		ｘ	
コーヒー飲んでたコップにコーラを注いでしまった	色は似てるよね		
子供の頃からピーマンが好きだった	子供って大体ピーマン嫌いだよね		
ポトフにじゃが芋入れすぎた	スープなのにパサパサしそう		
蒙古タンメン食べてからお腹が止まらない	辛いの食べると食欲増すよね		
山地がブルーベリーとか言うたのまじで笑った		ｘ	
紅いもとバニラのソフトクリーム食べるべき	両方大好き		
冬は根菜をとろう	根菜が旬だもんね		
シャリは後からついてくる		ｘ	
茶碗蒸しの下にうどんが入ってるのん	珍しい茶碗蒸しだね		
給料入ったから同期と馬肉食ってきた	馬刺しおいしいよね		
ピノを呼んでるのにマロンが来るからピノの写真全然取れない		ｘ	
仮梅と契約しましょう		ｘ	
さっきは辛口なこと言ってごめん		ｘ	
お腹が空いて益々眠れないのでココア飲んでる	ココアのむと眠くなるってよく言うよね		
豚汁なら出来るけど長ネギがない	長ネギなくてもおいしいよ		
もち達が正月に向けて雑煮になる練習を始めている	たくさんの餅が犠牲になるね		
赤味噌とは分かっていらっしゃる	白みそのほうがすきだな		
夕食後にもデザートとして食べてしまいました	食べすぎ注意してね		
的なこと言いながら給食の牛乳でバファリン飲んでた		ｘ	
玉子は神の食べ物だと思うんだ	なんにでもつかえるよね		
この前買ったドライフルーツの夏みかんが喉に優しい	ドライフルーツあんまり好きじゃない		
今も娘のごはんのストックを一人で作っている	たいへんだねがんばれ		
味噌汁入れてきました	どこに入れてきたの？		
越後の釜飯でした	トリ釜食べたくなってきた		
普通のデニッシュよりももちもちしている	もちもちのデニッシュおいしそう		
朝からあまーいティラミスをたくさん食べて胃もたれです	朝はさっぱりしたものがいいよ		
明太が美味しいのに今売ってるのピザ味だ	スナック菓子買ってるの？		
年輪堂のバームクーヘンが無性に食べたくなってきた	有名だよね		
獲れたてしらすうまい	生シラス食べてみたい		
服が昨日食べた馬肉のすき焼きくさい	馬肉は馬刺しが一番好き		
今日も良い鮮魚が仕入れられました	何の魚が入ったの？		
カフェオレ買って帰って明日の衣装する		ｘ	
今回はアンチョビ添えだ	高級料理になるね		
枝豆食べたら色欲組のDVD思い出した	枝豆のむとお酒強くなるらしいね		
黒豆をスーパーで買った	甘い黒豆すき		
カープのチューハイ貰ったから飲んだ	お酒飲みすぎ注意してね		
このカフェのスコーンとマフィンとパウンドケーキを全種類注文しよう	食べすぎ注意してね		
炭酸で割ってハイボールにしてもらってもだめ	ウイルキーまずいよね		
生姜とかを食べて代謝を上げるといいんじゃない	ショウガ食べると体ぽかぽかするよね		
珈琲いれときましたからどうぞ	ブラックコーヒ大好き		
綺麗な真っ赤な苺のアイコンにセンスを感じました		ｘ	
コロッケ作ろうなんて思わない	揚げ物大変だもんね		
ゴーヤかナスの抱き枕欲しい		ｘ	
ツナと豆腐のカレー煮ですん	珍しい組み合わせだね		
キタキュウマンにマカロニにされる前にフォローしとく		ｘ	
馬刺しとボジョレーなうとか自慢された	馬刺しうらやましい		
ソフトだったらいいよって言えなくもないけど本体はちょっと		ｘ	
生の貝食べれる人は素直に尊敬する	お腹壊しそうで怖いもんね		
大根めっちゃ剥いた	剥きすぎたら残んないよ		
初めてカプチーノを頼んだ	いつもブラックなの？		
今週の企画は三大洋梨食べ比べです	どれもおいしいそう		
人参のごま油炒め	きんぴらごぼうみたい		
イン日被ったらミートしよう		ｘ	
たまねぎについて質問攻めをして発表者を完全に黙らせた		ｘ	
チーズと目玉焼きのせ	チーズなんにでも合うよね		
赤身のお肉沢山沢山食べて血を作ってください	赤身より脂乗ってる方が好き		
小さめのドーナツなら行ける	食べすぎ注意してね		
いジュース飲みたい		ｘ	
バジルのベビーチーズ旨い	バジルの香りがしておいしそう		
紅生姜の天ぷらとザーサイとチーズ餃子食べたい	どれもおいしそうだね		
にんじんは人間も食べます	ウサギの方が食べてそう		
第三弾はプリンです	カラメルソースたくさんのやつが好き		
